Genes,Median_Abundance,Missingness_Rate,Below_Threshold,Gene_Symbol
TGFBR3,7.10181307174763,0.15555555555555556,True,TGFBR3
AKAP12,6.97084233136161,0.13333333333333333,True,AKAP12
ITM2B,6.97831371308623,0.06666666666666667,True,ITM2B
