Gene,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
MPRIP,9.996938,8.727253,10.009485,9.229367,8.369754,7.76539,8.758531,7.9225225,8.936992,8.634525,9.575316,8.406266,8.670824,8.372076,9.199332,8.799179,8.714054,9.943944,8.371587,8.880918,9.151331,8.997373,8.824498,8.302572,9.238945,8.103757,8.257258,7.7975907,7.838083,7.5512094,8.039018,8.683588,8.584487,8.932244,7.695227,9.369879,9.598784,9.370573,8.833183,8.717865,8.261906,8.998386,7.914629,8.021493,9.136211,9.174386,9.788149,8.103985,7.9010406,8.329936,8.81957,8.473404,9.078869,7.928132,8.094201,8.968925,8.793654,8.966673,9.313438,8.215092,9.595955,7.973143,9.693987,9.3134575,7.5907984,8.724846,9.896737,9.292939,9.230419,8.596024,9.0109,7.908521
MPST,9.219035,9.6424465,8.975558,9.368552,9.409794,9.869625,9.798273,9.66071,9.747406,9.596912,9.798463,10.12909,8.954851,9.725944,9.7440605,9.951408,9.768903,9.407177,9.710052,9.363115,10.293838,9.360631,9.750388,9.24058,9.2279215,10.169795,8.247921,8.433814,8.283243,8.930736,9.275343,9.291384,9.542594,8.979541,9.42367,9.38993,10.079792,9.895912,8.913059,9.976328,9.824394,9.317418,9.57733,9.346281,10.396532,9.048712,9.175411,9.86965,9.751895,8.09565,9.120705,8.725977,8.3603325,9.455025,9.260295,9.600329,9.336871,9.396562,9.525116,9.197284,9.183196,8.987749,9.833905,9.757875,9.501826,9.276096,10.299031,9.648081,9.757584,9.455933,9.147631,7.832466
MPZL1,9.447135,9.37665,10.128577,9.309697,8.9569235,8.654465,9.270728,7.7769036,9.599649,9.390893,9.932551,8.752772,8.779544,8.2993355,9.5096035,9.60825,9.453033,9.662894,8.531163,9.887969,10.185439,9.058169,9.115215,8.674537,9.701035,9.829993,8.764967,7.3630033,8.700998,6.67004,8.918264,9.353965,9.499716,9.524664,8.4828615,9.778896,10.464136,10.089361,8.947628,9.074286,9.825164,9.9719,8.725569,7.9581203,9.854973,9.362968,9.680454,8.750257,8.889216,6.899615,9.577161,8.423096,8.790254,8.856672,8.562388,10.283553,9.41205,9.085467,9.937567,8.372934,9.732787,7.8632984,9.8829775,9.88869,7.488195,9.455856,9.602887,9.893373,9.74431,9.381124,9.058943,7.8407884
MRAS,8.885273,8.259942,9.224848,8.551624,8.959905,8.786411,8.562894,8.149755,8.627355,8.231944,8.625117,8.9397,8.915936,8.115581,8.4632845,8.952646,8.689361,9.130215,8.68696,9.225816,9.657262,8.620817,9.524835,8.505732,8.490892,8.951993,8.679835,8.608593,8.722194,8.556229,9.04501,8.877304,9.038337,9.312036,8.197092,9.568294,8.782349,9.780424,8.673565,8.499121,9.975847,8.327884,9.93503,8.625147,10.083022,8.691932,9.076586,9.752218,8.923394,9.351457,8.232986,8.272492,8.100154,8.362205,8.050024,9.224574,8.366385,8.47205,9.566319,8.538643,9.523615,8.499,9.245722,8.967267,8.488367,8.946263,9.849253,8.730573,9.16457,8.987921,8.739735,8.616997
MRC1,8.363548,8.890395,8.163445,9.078823,8.855238,8.762039,9.99837,8.541555,10.20807,9.9558525,9.54007,8.749011,8.537388,8.780101,10.152585,9.611585,9.391374,8.853017,8.501377,10.182037,9.9121475,9.434112,9.761018,8.992492,9.619112,8.783143,7.6889033,8.196991,7.7198334,7.321084,10.426459,9.342459,10.948209,9.799096,9.100438,10.064207,9.644705,8.862476,9.6980095,9.491591,10.007529,9.743281,9.631223,8.801262,9.240306,10.288005,10.182865,9.210393,9.744176,8.517551,9.476887,8.580781,9.2697315,8.61221,8.999049,10.12889,9.519105,8.991866,9.975617,8.644065,8.813199,9.864168,9.135759,10.283642,8.05631,11.748576,9.629993,10.302411,9.8955765,9.734932,8.925815,8.041355
MRC2,9.105953,9.529586,8.756245,8.896165,6.9024806,7.640419,8.671596,6.772574,9.431043,9.169213,9.154215,8.580133,8.474255,8.479571,9.425281,9.281632,8.872985,8.866827,8.05119,9.203538,9.485654,8.789569,8.499695,8.249862,9.853552,8.751454,8.007358,7.942624,6.740566,6.5799947,7.9873075,8.893307,7.90169,9.301673,7.927918,9.128728,11.1524315,9.203692,8.920884,8.765495,9.110347,9.272079,7.7783837,5.8090587,9.535092,9.542347,9.360819,8.087406,8.894165,8.21159,8.643065,8.498413,9.088781,8.561761,8.713909,9.362255,9.409236,8.54922,9.22948,8.824607,9.688092,5.505121,9.282703,10.463195,8.109231,8.83639,9.493883,9.6145935,10.044846,9.045571,9.218841,8.302583
MRE11,8.623217,8.974634,9.205421,9.318536,8.618694,8.4523115,9.092926,8.178249,9.161206,9.576909,9.595445,8.804578,8.590264,8.786605,9.81823,8.962585,9.272597,8.582565,8.434778,9.253282,9.192254,8.779267,9.0476,8.463442,9.7349415,8.308752,7.725323,7.3655906,7.479932,7.0984325,8.498961,9.162978,10.087314,9.035985,8.350502,9.236422,9.528768,8.637163,8.890146,9.034334,9.053634,9.284166,8.529642,8.482412,8.884826,9.173191,9.144267,8.602822,8.489538,8.571147,9.202197,8.223308,8.602177,7.9853983,8.604649,9.413183,9.029265,8.581869,8.851816,8.189512,9.170405,8.005162,8.967467,9.859127,7.874387,9.288448,9.241188,9.878404,9.448274,9.081626,9.116142,8.164723
MRGPRF,10.459857,9.24678,9.621643,8.950979,9.733415,8.715501,7.947496,8.449392,9.179969,8.15844,9.248241,9.994785,9.881337,8.472391,9.162458,9.159535,8.516891,10.37351,8.468554,10.372632,10.934876,9.457853,9.191734,8.37386,8.650885,10.996102,9.979177,8.89438,8.967671,8.687473,8.505737,7.915315,8.669026,10.0808935,9.007363,9.545757,10.143003,11.758751,8.178969,9.281964,9.1750965,9.135574,9.016035,8.4832115,11.36156,8.64476,9.78898,9.065459,8.968008,8.703205,8.029367,10.646737,9.597872,8.820794,6.6824393,7.2061334,8.182461,8.673208,8.825316,8.922748,11.739181,8.485834,11.540715,8.6097145,8.485834,8.984251,10.78649,8.618452,8.883855,8.457101,7.62718,7.4367514
MRI1,8.514436,8.788257,7.9344044,8.90338,8.372819,8.560193,8.557929,8.793168,9.231044,8.939631,8.989069,9.104539,7.777652,8.390626,9.138478,8.953325,8.634559,8.768911,8.598213,8.922404,9.60528,8.746767,8.218784,8.257817,8.507761,9.185793,7.2969427,7.2297416,7.7380276,8.26168,8.483776,8.665009,9.410867,8.32165,8.207766,7.7109013,9.936583,8.550127,8.660682,9.044137,8.962815,8.656458,8.532661,7.556337,9.396649,8.39607,8.8697815,8.47032,8.002366,8.307517,8.461991,7.8770866,8.348827,8.609401,8.211669,8.463656,7.6388917,8.357098,8.748926,8.448255,9.030132,8.219054,9.052083,9.054292,8.266694,8.614118,9.667437,9.111901,9.375701,9.011503,9.240612,7.6066537
MRPL1,7.970298,7.920489,8.246193,8.538207,8.150439,7.6128645,8.340913,7.756769,8.4390135,9.2767105,8.196485,8.206361,7.8862586,8.045409,8.865418,8.348665,8.499403,8.1786585,8.072989,8.5855465,8.445801,7.9526615,7.883837,8.044695,8.832453,8.12694,7.030327,7.9611726,7.158043,8.0711155,8.090545,8.714564,9.182314,7.818515,7.9861193,8.632312,8.515242,8.687325,8.631724,8.437231,7.779805,8.759961,8.248181,8.285144,8.305103,8.389182,8.649246,8.001708,8.003402,8.444064,8.548773,8.08129,8.640261,8.055591,8.401665,8.573807,8.321724,8.337698,8.73143,8.132718,8.420027,8.31131,8.252733,9.113444,8.118353,8.8108015,8.42879,9.025567,8.653539,8.526178,8.611947,8.015773
MRPL11,8.366983,8.127098,8.581705,8.813921,8.5494175,6.3222136,8.370331,7.317203,8.675173,9.169797,8.710364,8.156599,7.6938934,8.027152,9.044434,8.117201,8.524983,8.623268,7.763847,8.868177,8.886348,8.226018,8.546796,8.237192,9.294995,5.8879337,6.519881,7.395894,7.6803107,7.731787,8.498664,9.089541,9.786669,8.2751665,7.837465,9.165439,8.946558,8.938488,8.448649,8.530603,8.510388,8.885016,8.141099,7.840937,9.251293,8.443756,8.693332,8.254841,8.693368,8.136937,8.414457,7.97701,8.808388,7.6030226,8.316532,8.9451275,8.266228,8.206929,9.301853,7.02361,8.89633,7.548124,8.797775,9.39691,7.4756255,9.084191,8.812524,9.62965,8.865419,8.790899,8.64666,7.8775225
MRPL12,9.015449,9.333595,9.470775,9.763419,9.133039,8.604208,9.6150675,8.773386,9.460378,10.402998,9.795525,8.221399,8.97933,8.863816,9.920197,9.342017,9.473203,9.295542,8.589656,9.774864,9.24691,8.996471,8.740226,8.992347,9.994034,9.245604,8.134145,8.0535755,8.660203,8.297496,9.387644,10.077373,10.44111,9.280196,8.535318,10.100873,9.897317,9.402464,9.55841,9.462761,9.729498,10.288371,9.455507,9.170344,9.197829,9.621902,9.667381,9.066521,8.864275,9.368598,9.711908,8.857733,10.20048,8.620043,9.245988,10.372876,9.968283,9.237897,10.35701,8.741219,9.452794,8.851453,9.707345,10.178759,8.273687,9.837387,9.861135,10.3776655,9.888136,9.812074,9.793032,9.044308
MRPL14,7.271999,7.540222,7.226355,8.0812025,7.693797,7.240209,7.8573136,7.3845186,7.6943083,8.520267,8.040376,6.9046373,7.5276084,6.7490616,8.231151,7.6510386,8.205273,7.628376,6.865422,8.143064,8.150357,7.600412,7.7789345,7.604687,8.485236,5.9332595,7.3660316,7.051271,7.0880995,7.301423,7.170462,8.23671,8.927015,7.6373563,7.251832,8.377374,7.8516583,7.801752,7.667639,8.564174,7.497263,8.076797,7.3697343,7.393754,7.7412095,7.719653,7.8244977,7.5293,7.7795234,6.792034,7.463396,7.3876114,8.150083,7.0687394,7.569236,7.6730304,7.678992,6.831499,8.384071,7.4633493,7.904475,6.89852,8.03303,8.350681,7.0809126,8.501004,8.203986,8.79041,8.208191,8.13973,7.6076193,7.3341627
