Gene,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
CDK5,8.369391,8.960547,8.34893,8.704057,8.034635,7.674926,8.677476,8.304397,8.888248,8.9517145,8.833038,8.742006,7.998001,8.049187,8.951432,8.571353,8.760188,8.938987,7.8103094,8.829091,9.252136,8.652667,8.242252,7.9053373,8.771875,7.907238,7.768691,6.5781107,7.7736044,7.2890544,8.255725,8.711421,9.112859,8.3402195,7.2874193,8.685889,8.94073,8.567899,8.159437,8.536096,8.503859,8.932411,7.8996387,7.912738,8.924316,9.007865,8.897302,7.8579316,7.7009044,8.584123,7.8766747,7.331776,7.4850073,7.565091,8.492262,8.6424885,8.636396,8.410239,8.706643,7.907186,8.82239,7.553341,8.55916,9.366589,7.263634,9.059001,9.236972,9.252167,9.408156,9.060442,8.9232025,7.7439775
CDK5RAP3,8.839801,9.064684,8.756321,9.183685,8.0805855,7.8374357,8.570064,8.411292,9.063376,9.76664,9.292188,8.574872,8.179712,8.318229,9.511383,8.938655,9.056307,9.046354,8.1237755,8.999242,9.490275,8.838861,8.685271,8.230114,9.0931,7.9803324,7.8625793,7.5706725,7.6854167,7.384987,8.346967,9.540351,9.734451,8.769147,7.770489,8.931134,9.022026,9.284626,8.810676,8.730146,8.480494,9.948098,8.18763,8.218423,9.447282,9.399567,8.856745,8.0797415,7.99575,8.326221,8.838021,8.150691,8.8213625,7.8076773,8.7937765,9.109294,8.79742,8.478015,9.042882,8.392579,9.27297,8.108453,9.355239,9.9933605,7.8721614,9.175561,9.390005,9.993145,9.674135,8.914768,9.277114,7.7732124
CDK6,8.577412,8.651765,7.184826,8.679748,8.209839,8.1036,8.694037,8.138624,8.896827,8.848549,8.952522,8.571793,8.378104,8.235541,9.002447,8.975115,8.627341,8.742541,8.033386,8.146992,9.055254,8.880582,8.224688,8.382336,8.272668,8.217075,8.087362,6.595816,8.181365,8.076162,8.243082,8.5698,8.497296,8.356438,7.563953,8.3177595,9.397579,8.552613,7.8620653,8.738071,8.523295,9.024686,8.174803,8.095394,8.676479,9.017222,8.708981,8.170731,8.297357,8.626317,8.447161,8.337075,8.579533,8.140494,7.8275557,8.488496,8.649402,8.396085,8.441982,8.2694,8.607551,7.7709312,8.236028,9.045827,7.8854246,8.469283,9.275894,8.788631,9.045365,8.654457,8.901404,8.646789
CDKN1B,7.898274,7.89389,7.981188,8.689537,8.530827,7.6419353,7.770216,7.423452,8.155612,8.4709015,8.23865,8.022225,7.7062945,7.717154,8.085815,8.448395,8.522518,8.014959,8.02952,8.4805765,8.693895,8.106253,8.20214,7.7179146,7.890208,7.261908,8.129171,7.624331,7.660797,7.4987097,7.9443336,7.9275875,9.215141,7.8086686,7.5230055,7.913422,8.402028,8.082512,7.7130084,8.097545,8.374559,8.968328,7.0985084,7.628068,8.595669,8.3722105,8.094183,7.580498,7.648959,8.715617,7.8725295,8.144509,7.820701,6.6518393,7.962921,8.6422205,8.362116,7.650675,8.687294,6.7027535,7.8781238,7.6868286,8.453954,8.42686,7.679775,8.489259,8.682284,8.530134,8.170687,8.617828,7.804465,8.536621
CDKN2AIP,7.6998634,8.02631,7.9997888,8.525055,7.8193884,7.677788,8.313329,7.987603,8.2792845,8.618239,8.477757,7.8940897,8.095587,7.9992495,8.457937,8.348586,8.577538,7.9022994,7.722052,8.151872,8.356392,8.182561,8.309864,7.399047,8.603483,7.6511135,7.762043,7.672222,7.7837043,7.7171736,7.8910866,8.12287,9.531294,8.158157,7.715478,8.174002,8.584969,7.836489,8.084965,8.171672,8.09087,8.64464,7.7419157,8.075154,8.216728,8.403764,8.309774,7.819031,8.014666,9.279548,8.444034,7.960518,8.08991,7.225952,7.9004536,8.28633,8.203887,7.8263555,8.243202,7.479917,8.037847,7.251195,8.071027,8.634438,7.712958,8.213326,8.317947,8.819214,8.349232,8.161326,8.362875,8.240747
CDKN2C,9.591407,8.864212,9.23751,9.20715,8.883443,8.151368,8.700534,8.455562,8.527708,9.063178,9.242555,9.47946,8.6514845,8.454563,9.041801,9.2567005,8.922612,9.717618,8.820738,9.380658,9.954251,8.792973,9.46808,8.0259285,9.142454,8.245298,7.981964,8.562383,9.338235,8.386581,8.450166,8.849986,9.429755,8.771145,8.04615,8.655462,9.982991,9.743512,8.69941,9.214512,9.544508,9.979765,8.812447,8.278231,10.257417,9.1556,9.118175,9.5241785,7.9186635,8.763551,8.892752,9.480335,9.221647,8.305757,8.3402405,10.019832,9.076323,7.9928436,10.017115,9.421754,10.039172,8.410835,9.841665,9.454773,8.311844,9.282267,10.67186,9.130093,9.6149435,9.586622,9.143666,9.3565445
CDS2,9.136132,7.751143,9.421043,8.788583,8.235212,7.7407284,8.158133,8.262298,8.179122,8.034985,8.436477,8.304711,8.675238,7.4047375,8.400944,7.7030654,8.000822,9.126796,7.6608524,8.967752,9.334899,8.527372,8.171789,8.175409,8.22379,7.9829035,8.35765,6.8933434,7.7372584,8.113171,8.481325,8.449888,8.909055,8.66729,7.5257893,9.162416,9.020279,9.716569,8.026507,7.9078555,8.250531,8.840381,7.509357,7.956589,9.556791,8.877249,8.435279,7.343419,7.330161,8.755231,8.165504,9.610025,8.882552,7.5313907,8.318962,8.577287,7.9765215,8.3337145,8.863151,7.8289714,9.535162,8.66659,9.864137,8.319435,7.7222667,8.608383,9.334962,8.643952,9.200062,9.109012,8.9277525,8.833543
CDSN,9.140707,10.475328,8.809647,9.767782,8.893442,9.203256,9.19515,9.359648,9.369104,9.209942,8.278004,9.343588,8.978511,10.526387,8.763145,9.161832,9.598906,9.985386,8.699979,9.455913,9.583263,9.51233,10.758698,8.931764,11.113376,9.188222,10.065253,10.372247,8.411577,9.024952,9.398533,9.181617,9.394649,9.885057,9.151767,9.404065,11.007671,11.782481,8.382784,10.151661,8.717711,9.188255,9.894124,12.513252,9.236639,9.708894,9.470268,8.91928,9.242571,8.213098,9.306301,8.648705,8.632858,9.682248,9.924484,8.749258,9.739157,9.15173,9.062946,9.135807,8.489663,9.101709,7.8822904,9.742376,9.188558,9.599578,8.419036,9.150019,9.155675,9.894407,8.641777,8.009976
CDV3,7.708436,8.325606,6.7187133,8.756635,7.578877,7.601107,7.923192,8.697524,8.634683,8.625675,8.101747,8.685347,7.5554233,7.4088545,8.082564,8.938426,8.506267,8.153613,7.5418034,8.218774,9.055727,8.152433,7.653166,7.7639656,8.240955,7.9500217,7.1489315,7.2231026,7.5119376,7.2253103,7.8003874,8.149679,9.407731,7.8367143,7.0405827,8.174718,8.575067,8.088646,7.807184,8.110569,7.871919,8.845834,7.720947,8.078605,8.584517,8.218287,7.9748793,7.6937504,7.9008694,9.056857,8.379392,7.6686587,7.8873096,7.3059206,8.461297,8.2282095,8.66563,8.02537,8.296276,7.8094335,7.9830303,7.8357654,8.121211,8.278829,7.684563,8.780148,8.702117,8.732906,8.564291,7.88321,9.045424,7.701482
CEACAM6,8.258987,10.697535,8.863901,9.631081,10.4529085,11.202026,9.651264,11.380107,8.653668,9.010281,9.295899,8.514955,8.867005,9.923071,8.899631,9.778513,9.716633,8.906641,10.777512,9.072935,8.202986,8.434826,11.536815,9.256917,11.385687,7.9219446,9.307867,8.105351,6.6436095,10.766348,8.949677,9.245366,8.108855,8.933052,9.642527,9.4513855,7.855925,8.8115225,9.761259,8.12348,9.38268,7.4206953,10.034207,9.022091,8.796539,7.9660635,9.50265,10.265278,10.869896,7.6420527,9.969405,8.650617,8.086091,9.702226,9.265963,9.212882,9.5517235,9.780217,10.547706,9.385757,8.50111,8.391841,7.4929852,7.934938,8.318319,9.3978,8.728442,9.10356,7.471132,10.0693245,8.48695,8.174141
CEACAM8,7.842246,10.14233,8.663434,9.325352,10.63213,10.735384,9.487948,11.1851,8.719375,9.081151,9.123231,8.160045,8.451966,10.001975,8.533937,9.794279,9.809302,7.458658,10.897302,6.8235173,5.815039,8.515354,11.799651,9.65223,11.198408,8.081576,6.439738,8.236831,8.1925955,10.799807,9.171948,9.231222,8.420148,8.736121,9.996103,9.271429,8.232944,6.5792923,9.781573,7.6871696,8.935256,8.064644,9.737379,8.919291,6.4911146,7.95302,9.63165,10.296426,10.655762,8.550712,10.256768,8.307241,8.375254,7.260286,9.406732,9.231784,9.612164,10.102201,10.9248085,8.423747,8.389317,8.571301,7.6618547,7.854587,7.8714905,9.508673,7.008928,9.0691805,7.468887,10.113343,8.3370905,8.063062
CELF1,8.356043,8.514214,6.8242497,8.434715,8.208869,7.5593204,8.826221,7.1429615,8.568663,8.74663,8.809415,8.181531,7.5761914,7.716395,8.872407,8.607062,8.703148,8.1277685,7.536119,8.66412,9.0346985,8.124974,8.440681,7.2025433,8.90176,7.719633,8.287234,7.283311,7.538813,6.308025,7.7395444,8.5719385,9.445687,8.242172,7.228854,8.477213,9.383051,8.2858925,8.111269,8.454343,7.9362926,8.767911,7.460063,8.192785,8.401411,8.818807,8.830548,7.556373,7.834046,7.020422,8.726734,6.6398344,6.0555077,6.918245,7.8250833,8.475416,8.021197,8.100094,8.426952,7.0568614,8.4776325,7.4456167,8.675601,9.41283,6.930439,9.233453,8.907653,9.1063175,8.873789,8.822594,8.2440405,7.109183
CELF2,8.4591055,9.119584,7.206316,9.134677,8.218898,8.199703,9.431767,9.130976,9.147689,9.814067,9.442902,8.383421,8.042433,8.486024,9.539774,9.22019,9.432751,8.844777,8.460945,9.055283,9.700225,9.132882,9.053856,7.981509,9.563216,8.493374,7.410096,7.615564,7.3535213,8.24843,8.495436,9.106659,10.433336,8.5221615,7.4336524,8.989634,9.772161,8.714553,8.822715,8.705252,8.789506,9.588094,8.40603,8.279467,9.231472,9.592664,8.819135,8.0951,8.383495,8.146811,9.639433,6.8795266,8.478809,7.840931,9.033047,9.201103,9.12622,8.718651,9.016625,7.724568,8.980627,8.201376,9.261864,9.93188,7.9333706,9.813803,9.424589,9.930464,10.1161585,9.513254,9.532356,6.739251
CEMIP2,8.012335,8.729406,8.211398,8.250214,8.609994,8.208657,8.501015,8.288701,8.449509,8.795772,8.511476,8.256663,8.1849165,7.7483807,8.684358,7.743141,8.537164,8.274728,8.306014,8.387731,8.485826,8.172724,8.234195,7.7760425,9.245839,8.188765,8.074463,7.4645348,8.0779705,8.26819,8.458216,8.401981,9.391756,8.441754,7.7339153,8.846486,8.110375,8.296295,8.270488,8.236682,8.187556,8.403389,8.054614,7.8832684,8.338138,8.722364,8.737706,7.9930797,8.276995,8.726622,8.92156,7.672389,8.8936825,8.056184,8.4209,8.756703,8.268687,8.345808,8.646034,7.937116,8.20401,8.250925,8.226333,8.99582,8.004352,8.727846,8.344604,8.910975,8.710695,8.373503,8.211955,8.14147
CEP170,7.7329035,8.088797,7.9999266,8.320992,7.532305,7.27492,8.089468,8.154596,8.299158,8.345955,8.27373,7.775775,7.892885,7.8748536,8.331206,8.137354,8.266061,7.8740444,7.7019305,8.303989,8.27417,8.060137,7.386046,7.8797,8.349976,8.217245,7.771566,6.900306,7.314479,7.2104955,7.996398,8.252253,8.904369,8.2274475,7.608197,8.299131,9.039289,7.725717,7.93713,7.989955,8.150942,8.437933,7.7185545,7.580462,7.780559,8.682303,8.428467,7.455159,7.788943,8.414103,8.069798,7.5406394,8.328455,7.5383296,8.001317,8.500917,8.379559,7.9076552,8.75575,8.006021,8.101759,7.8944325,7.8467703,8.689378,7.5420294,8.520213,8.330915,8.810088,8.833273,8.674494,8.805686,8.386592
CEPT1,8.692514,9.004873,9.900792,10.024286,10.227769,9.562861,10.132502,9.698881,9.9701185,11.032337,10.39189,9.2818775,8.3446245,9.342922,10.410648,9.219314,10.226564,9.82255,9.389734,10.851487,10.006843,9.681752,10.147415,9.856699,11.246915,8.793337,7.943755,7.924594,8.285917,8.745698,9.998771,10.086122,11.114038,10.174875,9.101692,10.610683,10.335058,9.438425,10.187947,9.887378,9.903631,8.7284775,9.883309,9.301567,9.671616,10.620281,10.283844,9.688457,9.162939,9.039465,9.47546,8.753345,9.00811,8.318651,9.239479,10.289828,9.390041,9.287734,10.898296,7.06447,9.887863,8.835429,10.287318,10.425607,8.804724,10.969348,10.052232,11.0923195,10.765855,10.387848,8.881997,8.745932
CERS2,8.141222,8.687016,8.146592,8.467577,8.265749,7.2455807,8.928711,8.829187,8.15401,8.708125,8.642344,7.756766,7.935297,8.3397,8.638287,8.237836,8.270303,8.3508415,8.239676,8.852541,9.011087,8.304452,8.126677,8.175739,9.02004,7.9301133,7.7072835,7.594877,8.2775345,8.23717,8.571869,8.977871,8.392489,8.241122,7.7294035,8.677752,8.954871,8.888321,8.264225,8.1330385,8.203723,8.485729,7.9563007,8.009587,8.548974,8.737693,8.603554,7.9186907,7.748827,7.909507,8.538705,7.855844,8.239775,7.8829265,7.9295425,8.292555,8.490742,8.495203,8.555286,7.7356753,8.492985,7.9636884,8.547428,8.977755,7.529344,8.962266,8.743806,9.126568,8.913996,8.497835,8.732519,6.517701
CERT1,8.497166,8.594705,7.8386145,8.538275,8.270308,8.069204,8.496665,8.77413,8.684059,8.754833,8.662521,8.369932,8.142553,8.181986,8.8707695,8.546515,8.563329,8.619571,8.195299,8.489752,8.919818,8.652234,8.667587,7.9373336,8.82338,8.134963,7.505374,7.613825,7.951291,7.871863,8.532127,8.55229,8.966891,8.378332,7.338349,8.58095,8.99344,8.600216,8.154857,8.358232,8.703465,8.794489,8.376373,8.047228,8.621727,8.8513155,8.713743,8.414527,8.2444515,8.206849,8.634657,8.338595,8.106127,7.5079036,8.089253,8.182712,8.073699,8.072791,8.740399,7.97629,8.609106,7.9423275,8.7488165,9.160759,8.112958,9.187016,9.127958,8.773653,9.229697,8.895348,8.678442,7.987036
CES1,9.398143,11.080539,9.8348255,10.972514,13.78404,11.792243,8.665593,10.055564,10.288158,9.638289,10.690943,9.933847,10.048438,9.783065,10.060091,9.249226,11.481787,8.968979,11.32862,10.961124,10.445455,8.982338,11.847874,7.9171815,10.659395,9.155277,10.316258,8.801777,10.3766985,8.116703,12.295364,10.236557,10.300459,10.635648,10.773806,11.959315,10.55677,10.454586,10.184718,9.920883,13.473302,8.9993105,13.1985655,9.719262,10.855757,9.615242,9.761179,13.502764,8.793632,8.425054,9.737294,10.187552,8.958815,9.256846,8.972586,11.652849,8.56331,9.777079,12.841852,8.663278,10.178237,7.5812917,11.653848,9.760903,8.556562,9.757308,11.094087,9.13617,10.390652,10.339748,9.738045,8.399908
CETN2,8.925079,8.91742,8.664317,8.3908415,8.3679285,7.453069,8.518754,7.621578,8.929953,8.934053,9.151685,8.738494,8.342038,8.076014,9.087051,9.134273,8.724067,9.2933035,8.310616,8.725158,9.758232,8.653879,8.889852,7.5482554,8.831452,9.7362,8.136859,7.796194,8.029494,8.155051,8.000914,8.602083,9.719564,9.237735,6.5240517,9.053781,10.121031,9.601735,8.375614,8.634702,8.85116,8.752987,8.225706,7.5086207,9.807304,8.891401,8.984519,8.534161,8.262904,8.265845,9.057956,8.497303,8.929598,8.452131,8.005673,9.215455,8.997778,8.948173,9.1427,8.550264,9.514578,8.190563,9.843825,9.418861,7.822855,8.575651,9.392255,9.544903,9.042512,9.249973,8.186419,8.453127
CETP,7.3215585,8.505052,7.8138704,8.009029,8.302733,8.84506,8.594104,9.239858,8.507326,8.315457,8.374773,8.078977,8.181556,9.047662,8.273632,9.258157,8.911503,8.668061,7.940171,7.815848,7.9739532,9.125432,7.8567753,8.644764,8.387836,8.122688,8.171125,9.2077465,7.5880494,8.610764,8.253588,8.599965,7.8211484,8.327789,8.003279,8.196409,8.121958,8.051764,9.31235,7.890503,7.549149,7.937354,7.346448,7.7513556,8.014547,8.355698,8.898321,8.831822,8.12107,8.411215,8.636244,8.226319,8.506091,8.6437,8.72912,7.0799413,9.572205,8.86175,7.8242393,8.414885,7.4129305,8.607235,8.146284,7.950741,9.166518,8.501395,8.00529,8.445376,8.420758,7.7410903,8.091535,8.39031
CFAP20,8.9868355,9.150574,8.781114,9.427071,8.753302,8.446487,9.164787,8.6544285,9.309809,9.672595,9.538349,9.290704,9.031989,8.671213,9.858684,9.262354,9.391048,9.106609,8.763863,9.347301,9.460921,9.028925,9.207403,8.972543,9.378662,8.754287,8.3072405,8.467712,8.183216,8.589848,8.952221,9.134692,10.367231,9.205465,8.363729,8.926044,9.48574,9.047377,8.986899,9.017521,8.851406,9.347362,8.588269,8.67349,9.596821,9.236109,9.506052,8.497253,8.813853,8.926699,9.565613,8.684905,8.534979,8.413221,8.7494955,9.211676,9.242843,8.526629,9.240376,8.295803,9.286852,8.301883,9.150843,10.161573,8.628908,9.627145,9.727757,9.754951,9.911178,9.299791,9.207382,8.274739
CFB,10.671213,11.985766,10.394434,11.247319,10.738577,10.485627,11.054148,11.281647,11.575997,10.209447,11.631306,11.702766,9.552242,10.440128,11.164739,12.1844845,10.696788,10.413638,11.026281,9.517546,12.06096,11.992978,9.595981,11.184822,9.918789,11.974165,9.66519,12.314509,8.988474,11.382542,11.456913,10.046899,9.981721,9.925789,9.868836,9.80426,12.462754,10.812188,10.571314,9.808739,10.789273,11.471351,10.298054,10.22397,9.882861,11.9089,11.100515,9.427469,9.515826,9.230397,11.208294,9.601274,9.132684,10.293566,11.609517,9.732499,11.405588,11.6870575,8.935232,10.356392,9.899488,11.132054,11.287691,12.006186,11.7342,11.028281,11.09835,11.501556,11.831443,10.796468,10.766465,9.345095
CFD,9.665643,9.808175,9.028006,8.646514,8.871965,9.973289,10.259991,8.935228,10.595406,8.980067,10.347434,10.135554,8.47724,9.769512,9.474785,10.593835,8.937355,9.966761,9.18661,9.886206,10.066024,10.422394,8.9029045,9.629666,8.192346,10.073921,9.158739,9.760095,6.978881,8.4219055,9.505658,9.536063,8.258468,9.4382105,8.359971,9.453055,11.075816,10.694688,9.809391,9.289229,9.333289,9.99191,8.44326,8.389868,10.26917,9.898629,9.737185,8.198095,8.323047,7.781682,9.619995,8.915532,7.6999044,9.020753,9.998257,9.524204,10.2501335,9.951981,8.470998,7.8239174,10.255486,9.729903,10.940491,9.701439,9.457101,9.246256,10.615277,10.602792,11.074686,8.873574,9.595949,8.317927
CFDP1,7.702371,8.164625,7.727874,8.420446,7.77451,7.8429427,8.215986,7.841385,8.1342,8.0521755,8.429673,8.092321,7.88763,7.814241,8.02728,8.546824,8.462842,7.8386855,8.131121,8.012825,8.636746,7.8390965,8.125204,7.582111,8.424771,7.780421,7.060113,7.7004004,8.658455,7.68839,7.9283166,8.026668,9.090203,8.065211,7.4915924,8.214451,8.707248,8.336607,7.7579427,8.35477,8.214635,8.873918,7.5198865,7.4161263,8.2788105,8.274972,8.524091,7.7832966,7.7999716,8.397372,8.038969,8.592612,7.658344,7.1226068,7.722478,8.38699,7.9218783,7.6235085,8.21463,7.747366,7.8367696,7.8727417,8.3886595,8.462869,7.695142,8.391417,8.337764,8.500749,8.0653305,8.258129,8.362513,7.489641
CFH,11.388934,11.806114,9.493387,11.564642,10.652675,11.046916,12.567528,11.769683,11.748156,11.1281185,11.890682,10.991287,9.217287,12.154342,11.080972,12.183222,11.571359,12.058173,11.086893,10.551763,12.139263,12.783698,10.277245,11.63412,11.018061,12.03413,10.377091,13.898515,8.894659,10.804967,12.47593,10.848959,9.874107,10.90297,10.768604,11.234509,12.62982,11.132888,12.043497,10.232472,10.759787,10.946727,10.136025,12.298212,10.575281,11.980303,11.621756,9.830583,9.363231,9.723616,10.782541,10.542357,9.758404,11.310459,12.188473,10.875546,12.20568,11.914744,9.981116,10.352242,9.984219,12.03882,12.028614,11.094339,13.337355,11.29639,11.99221,12.099923,12.658154,11.000026,11.130301,10.001255
CFHR1,9.603997,10.979973,8.038534,10.143757,9.464453,10.706796,12.085659,11.292062,11.332279,8.899887,10.896001,10.673399,8.315178,11.417956,9.635636,12.084951,11.03269,11.255689,9.849261,8.447631,11.332359,11.88897,9.400415,10.84689,10.239107,11.143131,9.473504,13.027806,8.193732,9.963331,11.904198,10.833931,7.751884,9.501145,9.591418,10.060924,11.855475,9.902455,11.296698,9.019773,10.237285,10.503339,8.90914,11.962342,9.761583,9.458707,10.415245,8.731193,7.566809,8.066929,8.918107,9.9026,11.772203,10.961142,11.058382,9.76257,9.854043,11.164747,8.937701,10.072724,9.514827,11.008015,10.188943,9.781476,12.844465,11.177424,9.800167,10.231084,11.770626,9.4145565,10.1650305,9.780269
CFHR2,10.894239,11.623389,9.14807,11.40301,10.727261,11.243013,13.050762,11.890979,11.510239,10.141909,11.301437,9.610974,8.823993,11.540741,10.220645,12.063424,11.029051,12.214023,9.569176,9.747562,12.187576,12.387136,10.014877,11.250984,10.943076,11.846704,10.411774,13.042121,8.619555,10.756208,11.887162,10.84048,8.76157,10.214659,10.014644,10.6044,11.537102,11.110519,11.926864,9.980206,10.615512,11.399533,9.891137,12.594654,10.851684,10.453811,11.396333,9.714567,8.912465,9.518906,10.1346,10.095395,11.195528,11.202621,12.367291,10.474778,10.873935,11.95388,9.702358,9.892379,10.140112,11.744193,10.066077,10.469139,13.30554,11.655862,10.93174,11.347123,11.849251,10.576661,10.687326,8.920659
CFHR3,7.7176905,8.984669,6.815713,8.530601,8.096943,9.078676,8.410296,10.478125,9.266685,7.749389,8.126964,8.610647,7.5781126,7.8370724,7.7621994,8.879811,8.771504,10.004589,8.244595,6.9028573,8.743334,9.801047,7.5436864,7.9847894,8.555392,8.515338,8.229833,10.91632,8.523096,7.7498994,9.025589,9.08919,8.271573,8.120462,8.001367,9.315017,8.518058,8.146407,9.824636,6.9196806,7.8895698,9.114105,8.148072,8.929133,8.485707,8.4167795,8.671172,8.037786,8.069889,8.323997,7.994346,9.896043,11.534509,8.586418,9.330447,7.930368,7.264131,8.265425,7.7068276,8.417975,7.620581,8.422476,8.334227,8.886484,10.327713,9.99284,8.53187,7.797181,8.920464,7.7021585,9.0583725,8.833101
CFHR4,9.156043,8.974577,7.39871,8.94703,9.348731,9.560268,10.972734,10.926889,9.670367,9.728495,9.6478195,7.870916,8.048205,10.078727,9.172286,9.661924,9.331338,10.570021,7.8059535,7.2049913,8.765904,11.170045,8.895391,8.639393,10.26509,11.070439,8.02025,12.186702,8.351508,9.549273,10.461185,9.041801,7.6500673,8.66267,8.473673,9.738551,9.149026,8.982531,9.862613,7.845146,8.694113,9.28367,7.9402566,10.780184,8.620379,8.741169,10.362665,7.8990216,7.405451,7.77978,8.163533,8.820696,10.168446,9.696028,11.031348,8.12707,9.257036,9.631196,7.9827466,7.8621407,7.969925,10.884289,10.120967,8.949904,11.092149,10.760328,8.829884,9.025119,10.005452,8.529196,9.700401,8.209288
CFHR5,10.463614,9.447377,8.222172,9.840627,9.359783,10.090699,12.231144,10.160114,8.952959,9.325449,9.842571,8.917935,7.883961,10.177109,8.580883,8.829512,9.680372,11.075146,9.4273,8.271923,11.230302,9.930656,9.430346,9.843114,10.158816,9.985819,10.40187,11.211098,8.466091,8.512419,12.711843,9.3556595,7.8569503,8.954967,9.4841795,9.52739,10.549654,9.713753,9.230057,8.28198,8.793165,9.217837,8.104039,12.056694,9.787683,9.13375,9.289506,8.260071,7.950526,8.583608,8.6264715,8.846595,11.2272415,8.91416,9.803778,8.534134,9.475366,9.651279,8.7824955,9.34357,8.545944,10.733071,10.805997,8.645051,10.850599,10.0086,11.036955,9.819573,10.243106,8.898171,9.163379,8.317924
CFI,8.957197,10.6880045,7.6041565,10.2452345,9.853963,9.804269,9.467142,10.568035,10.618825,9.237558,10.118146,9.920512,7.8936133,9.929067,9.986207,11.063235,9.691179,9.464028,9.574213,8.245969,9.990564,10.902049,8.979251,9.612291,8.401251,10.973871,8.226487,11.413744,7.7656384,10.12444,10.334729,9.135497,8.793093,9.13554,8.965975,8.820274,10.435211,9.032336,10.129183,8.6530695,9.53834,10.298142,8.997935,9.87261,7.915802,10.141861,9.726223,8.621049,8.404628,8.667772,9.542258,7.479907,8.288924,9.480384,10.283091,8.562089,10.058794,10.229378,8.441011,9.2586565,7.7740254,10.0722475,9.7882805,10.357982,11.246548,10.163445,9.17829,10.375662,9.606639,9.371906,9.052129,8.632459
CFL1,11.775044,12.325154,9.377696,11.128512,11.040218,10.651102,11.939704,11.690137,11.543452,11.773733,11.692045,11.532382,10.441022,11.262358,11.903726,11.931825,11.627128,12.026095,10.885567,11.330279,12.537213,11.572357,10.811333,10.608148,11.8749,11.352315,10.21832,10.052487,9.344445,11.47174,11.303814,11.477813,12.659982,10.918772,10.225059,11.471585,12.079189,12.074816,10.626996,11.209295,11.022657,12.004213,10.646333,11.122101,12.699408,11.984176,11.462852,10.740641,10.443185,11.252548,11.522907,11.4587965,10.970167,10.568516,11.4693575,11.450595,11.937067,11.527789,11.373175,10.790607,11.9480295,10.66262,12.166082,12.212746,10.739364,12.115198,12.61867,11.650191,12.677932,11.614878,12.011871,10.42055
CFL2,11.628501,11.476202,10.134032,9.797078,10.558266,8.549592,9.501107,8.059146,10.029954,9.612007,10.042435,11.784782,10.489568,9.019942,10.114904,10.496338,9.645237,12.113104,9.962724,11.363587,12.65871,10.8024645,10.945995,8.258001,9.6609535,9.60572,10.840898,8.422883,9.24074,8.414782,9.516456,9.441236,10.756475,10.911325,8.450078,10.456905,10.931542,12.928278,8.996694,9.52087,10.161864,10.10013,9.503103,8.615582,13.214643,9.962786,10.323429,10.465453,8.702477,8.999339,9.530089,11.074492,8.872917,10.371258,9.106045,9.689469,9.934644,10.314026,10.952642,9.900684,12.682667,8.992149,12.476515,10.255288,8.121521,10.622251,12.799302,9.707237,11.047523,10.271333,9.557578,9.0229845
CFP,9.568014,9.467408,8.534727,9.516435,9.094938,9.854075,9.920984,9.269585,9.085411,8.912223,9.2171335,9.593634,8.454491,9.692564,9.122992,9.766816,9.433385,10.010698,9.330552,9.110938,9.617073,9.976367,9.133482,9.62225,9.293792,10.239297,9.385879,11.469179,8.803348,8.672241,10.47642,8.950849,8.260376,8.768258,9.532903,8.942074,10.666725,9.080269,9.55084,8.062588,8.779322,8.469366,8.748492,8.771296,9.870551,9.526282,9.20453,8.427976,8.370458,8.407303,9.310332,10.182588,8.419845,9.005047,9.1940155,8.566619,10.345767,9.260473,8.426787,8.635098,9.197344,9.309288,9.632905,8.412361,9.535291,8.422721,10.58355,9.239668,10.85924,8.548065,8.810881,8.490154
CGGBP1,8.368136,8.034769,7.8474283,8.521537,7.9129124,8.235321,8.662782,7.571607,8.265197,9.070698,8.622556,7.7896266,7.7572427,7.740359,8.7113695,8.897907,8.64992,8.380126,7.428378,8.758211,9.204861,8.192854,8.377665,7.984151,8.71622,8.191933,6.8358927,7.8335166,6.89029,7.8552346,8.259477,8.431533,9.948932,7.8890285,7.7010164,8.351739,9.250682,8.284479,8.856727,8.20693,7.8055882,9.002063,7.4510856,8.2362175,8.404308,8.420612,8.533839,7.4561048,7.772379,8.733444,8.501789,8.001187,8.616439,7.84635,8.311952,8.8786545,8.332949,8.35876,8.442071,7.815879,8.378667,7.9952965,8.712752,8.832013,7.9952965,8.607881,8.758278,9.40647,8.854645,8.438556,8.140566,7.9469743
