Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Model,Fold
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_0,11,0.17485824250015836,0.60708602433168,0.1272727272727273,0.7092146257733047,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_1,11,-0.17350706722364184,0.6099102692156446,-0.21818181818181823,0.519248247554982,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_2,11,-0.2836743257298723,0.39791654540645843,-0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_3,11,-0.2762224214517525,0.41095515370418745,-0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_4,11,0.2556364390230777,0.44802949502030587,0.19090909090909092,0.5739131682855215,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_5,11,-0.4751955246591651,0.139639807668201,-0.5363636363636364,0.08895341813596276,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_6,11,-0.2278728076900032,0.5003758269022031,-0.15454545454545454,0.65003396549758,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_7,11,-0.07781408100384171,0.8201065254953637,-0.03636363636363637,0.9154683168905347,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_8,11,0.1902115294123131,0.575340024244066,-0.07272727272727274,0.831716405381337,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_9,11,0.23729237995254499,0.48232439689741263,0.33636363636363636,0.31182431390038623,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_10,11,-0.1934393013120148,0.56874925380593,-0.09090909090909091,0.7903727377532903,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_11,11,-0.19822720464233815,0.5590279709025506,-0.10000000000000002,0.7698749998921366,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_12,11,-0.10297859835026504,0.7631870148543044,0.05454545454545456,0.8734465775233149,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_13,11,0.08850648714322694,0.7958105170996429,0.045454545454545456,0.8944269969053026,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_14,11,-0.3180986346089164,0.3404309227339609,-0.20000000000000004,0.5554454421055854,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_15,11,0.28702624906669993,0.392119365327944,0.3545454545454546,0.2846927409558867,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_16,11,0.1325989777358282,0.6975315280571489,0.15454545454545454,0.65003396549758,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_17,11,0.14428702560545698,0.6721023874580987,0.24545454545454545,0.4669223669820163,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_18,11,-0.21588972512413024,0.5237555032130413,0.14545454545454548,0.6695786456420787,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_19,11,0.2700992608346292,0.42182241727477415,0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_20,11,-0.12835259968645793,0.7068412966989827,0.06363636363636364,0.8525390725425217,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_21,11,0.2811801536863649,0.402257580974663,0.41818181818181827,0.20057021703405067,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_22,11,-0.28269260477368785,0.3996224263902138,-0.33636363636363636,0.31182431390038623,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_23,11,-0.24534411557265867,0.4671292376916119,-0.20000000000000004,0.5554454421055854,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_24,11,0.02346332262483554,0.9454075422605759,-0.05454545454545456,0.8734465775233149,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_25,11,-0.3081303494228458,0.35660391766097094,-0.33636363636363636,0.31182431390038623,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_26,11,-0.26317064319966393,0.4342837779702918,-0.27272727272727276,0.41714143714253127,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_27,11,-0.2241135013225896,0.5076610583575798,-0.045454545454545456,0.8944269969053026,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_28,11,0.19796623460702062,0.5595561256980848,0.009090909090909092,0.9788365001441937,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_29,11,-0.11649248673319122,0.7330316042449513,-0.05454545454545456,0.8734465775233149,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_30,11,0.3075869002972376,0.3574968644206606,0.3272727272727273,0.32589494101284167,Baseline,0
REACTOME_ELASTIC_FIBRE_FORMATION,embedding_31,11,0.3175674913262595,0.3412827714127521,0.33636363636363636,0.31182431390038623,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_0,11,0.33686478090490257,0.31105838602499025,0.19090909090909092,0.5739131682855215,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_1,11,-0.42590193340246835,0.1915237864976109,-0.36363636363636365,0.2716375409938228,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_2,11,-0.5121177018724558,0.1072890488086719,-0.5363636363636364,0.08895341813596276,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_3,11,-0.5036956216964404,0.11419028940518677,-0.5363636363636364,0.08895341813596276,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_4,11,0.43135992276557267,0.18527948262105914,0.5181818181818182,0.10249153979096383,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_5,11,-0.6447496784208846,0.032212354448796984,-0.6818181818181819,0.020842853610945056,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_6,11,-0.40097177066549833,0.2216413083636273,-0.5272727272727273,0.09556521835315422,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_7,11,-0.05486097287088639,0.872719649850867,-0.10909090909090911,0.7495085962341482,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_8,11,0.3847398207687113,0.2426588695977228,0.29090909090909095,0.38545696969136556,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_9,11,0.531147884253486,0.09270865790908406,0.7000000000000001,0.01647097883651441,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_10,11,-0.3259986087131889,0.3278935968651039,-0.33636363636363636,0.31182431390038623,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_11,11,-0.38073251926545476,0.24801818434682987,-0.45454545454545453,0.16014543725525882,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_12,11,-0.21932713786396751,0.5170022368558416,-0.18181818181818182,0.5926152128455,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_13,11,0.2754101020463116,0.4123889187210095,0.15454545454545454,0.65003396549758,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_14,11,-0.5211806615484357,0.10017166610704695,-0.3727272727272728,0.25892587368422215,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_15,11,0.4933145190401468,0.1230825887485469,0.6545454545454547,0.028864598957001886,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_16,11,0.03209879725027366,0.9253570402491366,-0.03636363636363637,0.9154683168905347,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_17,11,0.0667502282187571,0.8453966356379621,0.23636363636363636,0.4840911622253965,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_18,11,-0.314802539039726,0.3457352686181246,-0.21818181818181823,0.519248247554982,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_19,11,0.5165019103111708,0.10380627613090272,0.5363636363636364,0.08895341813596276,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_20,11,-0.13620546960012472,0.6896538779761184,-0.08181818181818183,0.8109903943000458,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_21,11,0.46279319437988403,0.1517444788738187,0.7090909090909092,0.014552051953727704,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_22,11,-0.5060410327970529,0.11224040473817858,-0.5818181818181819,0.060419896215648305,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_23,11,-0.5274946278085482,0.09540010605467054,-0.5,0.11730680301423815,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_24,11,-0.056546352871440386,0.8688381846559177,-0.07272727272727274,0.831716405381337,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_25,11,-0.5548251902590245,0.0764725070183699,-0.5818181818181819,0.060419896215648305,Baseline,0
