,Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 91,Sample 25,Sample 78,Sample 83,Sample 80,Sample 70,Sample 90,Sample 8,Sample 45,Sample 85,Sample 84,Sample 17,Sample 44,Sample 22,Sample 68,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 37,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 4,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 95,Sample 20,Sample 51,Sample 48,missing,mean_intensity
1715,A1BG,,,,7.48141784859738,7.68954141355978,,7.11766521118047,,,7.70125666199544,,7.50445249779545,,,7.42236188314407,7.39858609099752,,7.23581780064357,8.31835890930407,,7.22050854710415,,,,,,,,,,,,,,,7.74297291898879,,,,,7.90908437939327,,,,,,,,7.44011076319215,7.38525887255317,,,6.6997836215771,7.26442084853808,7.50148297393892,7.88680793152066,,,7.34868648040868,7.7510084918749,7.63033309565707,0.6557377049180327,7.195711588494669
761,A1BG,8.32215352277056,8.99203448784256,9.12455073351044,9.01312172838917,9.46950981885947,8.99851723350612,9.52184125962874,9.10881761037353,8.79630778812483,8.99505457403476,9.25479532774572,9.42179142903741,8.66982695548021,9.34257050088219,9.61835927101172,9.31296155525592,7.10833984221663,8.71162202912909,9.47327564927167,8.03387408732656,8.50659810731302,8.02094627026337,8.40944494350599,7.8049027946972,8.18262972792464,8.10991907929536,8.21106593287062,,8.786038173533,7.20265436335429,8.64727202922871,5.91429947878946,8.76529589788873,9.80993596595104,8.80801214262086,9.02549606465458,8.16150058309474,6.99344684900756,8.64086459305262,8.14549055746606,9.50356224185559,6.36494648853165,7.56417116430687,6.84972302355799,8.56277538207454,8.52990961582816,8.56852217902625,9.27106404481101,9.02626075950728,8.7344228794858,8.91457833487333,9.03322436199962,9.18402852981683,8.90476807062719,9.64439562910916,10.2243452177393,9.10089111957103,8.84131584267453,8.93859173620218,9.30855013297815,9.61909532260847,0.01639344262295082,8.526896302929789
1910,DBNL,9.29133435958485,10.4156171411576,9.40854173840688,9.94218798213109,10.3207494615306,9.96649944687071,10.5794129291478,9.43626591875268,10.4471421413705,9.07270327339697,9.6534361968999,9.67536684950909,10.3049683920321,9.94497452190014,10.6391128820301,9.27954923450765,7.35756219253394,7.36608233979133,10.338634876795,,7.42555801321515,7.98706079106637,8.18074912600888,7.93765750730307,,7.56045967414877,7.33083689167456,,8.36700796768499,6.89477374132042,8.80953346746251,,9.4216016642479,,8.71372244373707,6.32011255707837,,,9.5581822025864,,,8.48215939699552,,,,,,,,,,,,,,,,9.60754622553395,8.88410832812659,,,0.4262295081967213,8.759651149576008
302,DBNL,10.809547918202,12.2707510567668,10.8645514173857,11.5978208000573,11.1716392185952,11.6891738257456,11.3424205736988,11.2815284026336,11.320087282323,9.95263955976217,10.9862300226211,11.2761734833628,11.4333854010627,11.1800362356236,11.9351120518566,10.0847579788106,7.62581350168485,8.5759181734424,11.3592285450926,6.58906138024634,9.39063927365242,8.9933978233049,9.28135725025749,8.99536521379312,7.85798849201254,9.04157062336077,8.7512860506177,,9.46847196510088,7.13493056640629,10.780844958471,6.6335476581495,10.5969714207312,8.61266026798562,10.5553171083232,11.2818908269241,8.26569244379915,6.33323924809435,10.6761800685678,9.14830359835591,9.38753552946186,8.45012744685803,8.38374600474874,6.6515661805628,7.98239513913305,9.14283151119448,8.6816270935809,8.02911501856421,8.74135659717333,9.84214117404877,8.32684864775576,9.90910797823475,11.2191299354085,8.67150096359453,9.91079878712372,9.04528439699713,6.56565605203897,11.1141603964581,11.7044996237034,11.3572709216237,11.4106585460312,0.01639344262295082,9.50310300120985
962,FBLN1,9.5300269694924,9.4367236146524,8.668732305621,9.00259407936495,9.01249594403132,9.54916108978317,9.02161715579165,9.25817372861383,9.16387586978651,9.67603060521697,9.4582986832275,9.45954414370796,9.29128310006883,9.64885443816038,9.7694654609938,9.81789222507149,7.93430973388347,9.88387621081876,10.2081531892049,10.5604417174543,9.51554780529496,9.92340362335118,9.69151733016076,9.23051901721791,9.81908110792054,9.76227441898559,9.65373010494523,7.84005618528535,9.56222789148374,7.6821525363981,9.03372929654585,8.20993737784731,9.11327879849613,8.66083851083567,10.2035185463423,8.81895830617428,9.93796530544993,7.26025667809019,8.92240121271369,10.1347356031768,9.49294711498717,7.94174778515749,8.14228702417466,6.96435698121971,10.2902496246409,10.0453579109218,10.0724698909461,9.62157486414334,9.74016295762811,9.69305932189707,9.76547047136951,9.2211001309392,8.93649017665276,9.37121641797403,10.2156754046133,8.76982278641801,9.95328174643644,9.56805521254789,9.76421579906717,8.73782847424613,8.69435771363522,0.0,9.13434528598834
474,FBLN1,11.4140957169358,11.793422108789,10.8144070316347,11.2910610251921,11.0249179488875,11.8984393825828,10.9816502782247,11.3611803739434,11.1460557866339,11.9543627723389,11.7439880078564,11.7013838627953,11.0645735445821,11.6266887588128,11.7707584574782,11.8204429796817,10.6206437516342,12.129497620993,12.422620227639,12.769521694829,11.7766495601521,12.0146199228291,11.9516957188764,11.4231136492183,12.0134381818145,11.9959991638505,11.601301509657,8.97965738090547,11.3304170190617,9.78437132569047,11.0481956813761,9.96851702653503,10.8812394456761,9.47286437447664,11.9963636393062,10.9285451512617,12.1237229218179,9.51438411728413,11.0875314365122,11.8916480629579,11.4843241677936,10.0976050466794,10.8714717113832,8.5076094295068,12.3346811299989,12.1500942792465,11.9109132245318,11.5648331834238,11.9526236513218,11.7968762928125,12.2292304566506,11.8507103760767,11.1908580499879,11.5449896161274,12.4019252487838,11.2758582821752,12.1202629431974,11.5741167601503,12.0363640193246,11.2031161424301,10.6649043541079,0.0,11.191892822361842
1590,FN1,7.12686903738205,7.72740416076855,7.84705672333709,7.97941969689829,6.92407540135294,7.5827871049357,7.66114171445042,7.94467179779884,7.49306196883725,8.31406734100846,8.58770454587608,8.21740074623488,7.50586078387932,7.42503592341086,7.63379528005059,8.57036242862476,7.62819004688594,,,7.79696184315984,8.58879933273109,8.34134902292805,8.42634587838767,7.76232179803545,9.05772712793407,,8.11033051304551,,6.82032915612798,7.76780793579081,6.63914753433288,,,,8.17652025513227,,,,,,7.50427350199743,,,,,,8.2381137688484,,8.3114183500618,,8.29984203983304,7.88675751244006,8.05075963571853,8.16963697987239,7.97036069635475,7.90166793970551,7.5157946758932,7.12413893914589,7.71918948332309,7.12894241984267,7.65181089379396,0.3114754098360656,7.661412263860566
220,FN1,12.2195251505086,12.3990307473337,11.5240846808887,12.4711687788909,11.6550260696168,11.9769846459767,12.7757369593076,11.7860263035328,12.415390410904,12.6413823655267,12.927486725188,12.1450661780496,11.2094535334764,12.0326271999105,12.2624452289523,13.5486659429042,10.4473655019629,12.4318806996707,12.7563987499132,12.9303604241715,12.8918664868228,12.7889343231759,12.9945844807642,12.3691885008728,13.8794377181012,11.0540246001053,12.841690576202,9.53836315096644,12.7419813707667,10.7241392440044,11.4687794982603,10.531448381079,12.1393844250314,9.93173133004025,12.7735578192268,10.9679319884992,12.2821772011102,9.86052363673988,12.4447025083281,12.7745501697581,12.9085954288572,9.13621048848027,11.6871524542305,9.83760966219706,12.4897773790328,12.5059096698921,12.7214625316464,12.5242170587248,12.661349946855,11.3161448233094,12.8517034187751,12.4568780921966,11.7257424430445,12.4317145701674,12.4059701344133,12.1611488377195,12.8922458850125,12.3958461255853,12.2546741845691,11.9211265041194,12.1109810698426,0.0,11.854057490567929
1593,HLA-A,,,,,,,,,,,,9.26714845309183,,9.54602656259731,,,,,,,,,,,,,,,,,,,,,8.3181275933794,,,,,,8.36235115557968,,,,,,,,,,,,,,,,,,,,,0.9344262295081968,7.285615998831284
650,HLA-A,10.6722090469299,10.7322083237775,10.9056254172814,10.838214306492,11.0060882139597,10.4503144429414,11.3273844311962,10.6950922267134,10.2910757584824,10.8391568788883,10.9597742963539,10.9648014871014,10.3934465958364,10.71903109136,11.3162174207668,10.8094526534088,,7.72575370872108,9.85325750828012,7.12557910449424,9.22309742903281,8.62324671547668,8.79696031731112,9.1611779440097,9.13921289123186,9.29427676621199,9.08161200809143,,9.77093816159865,7.25705965644619,11.5435329201914,6.85894115510325,11.4672523603591,8.0879104639518,10.7855107511483,9.89632971955042,8.44182162211242,6.76940717819316,9.75095098788277,9.28542392466677,9.98220897264343,7.68787795049035,8.83442193455503,7.54251530438416,8.67436963077863,9.52604588129671,8.68778244604132,7.90993793907202,8.96876896929753,8.66010367478865,7.33644291041412,9.27551952118351,11.4100061469859,9.27890151081892,9.28265311427775,9.9979645187316,7.12911846458865,10.2213374330199,10.3721660580863,11.1881698669052,10.9492935312698,0.03278688524590164,9.396795642507168
