protein,significance
GLRX,1
GLRX3,1
GMFG,1
GNA14,1
GNAI2,1
GNAI3,1
GNAQ,1
GNB1,1
GNB2,1
GNG5,1
GNPTG,1
GOLM1,1
GOT2,1
GP1BA,1
GP1BB,1
GP5,1
GP6,1
GP9,1
GPI,1
GPLD1,1
GPNMB,1
GPX1,1
GPX3,1
GPX4,1
GRAP2,1
GRB2,1
GSDMA,1
GSN;cRAP-GSN,1
GSR,1
GSTK1,1
GSTO1,1
GSTP1;cRAP-GSTP1,1
GYG1,1
H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ,1
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,1
H3-7,1
H4C1,1
HABP2,1
HAGH,2
HBA1;cRAP-HBA1,1
HBB;cRAP-HBB,1
HBD,1
HDGF,1
HEG1,1
HGFAC,1
HINT2,1
HLA-A,1
HLA-B,1
HLA-C,1
HNRNPC,1
HP,1
HPR,1
HPRT1,1
HPSE,1
HPX,1
HRG,1
HRNR,1
HSD17B10,1
HSP90AA1,1
HSP90AB1,1
HSP90B1,1
HSPA1A;HSPA1B,1
HSPA4,1
HSPA5,1
HSPA8,1
HSPA9,1
HSPB1,1
HSPD1,1
HSPE1,1
HSPG2,1
HTRA1,1
HYDIN,1
HYOU1,1
ICAM2,1
ICAM3,1
ICOSLG,1
IDH1,1
IFITM1;IFITM2;IFITM3,1
IGF1,1
IGF2;cRAP-IGF2,1
IGF2R,1
IGFALS,1
IGFBP1,1
IGFBP2,1
IGFBP3,1
IGFBP4,1
IGFBP5,1
IGFBP6,1
IGHA1,1
IGHG2,1
IGHG3,1
IGHG4,1
IGHM,1
IGHV1-18,1
IGHV1-2,1
IGHV1-24,1
IGHV1-3,1
IGHV1-45,1
IGHV1-46,1
IGHV1-69,1
IGHV2-26,1
IGHV2-5,1
IGHV2-70D,1
IGHV3-13,1
IGHV3-15,1
IGHV3-23,1
IGHV3-33,1
IGHV3-35,1
IGHV3-38,1
IGHV3-43,1
IGHV3-49,1
IGHV3-64,1
IGHV3-64D,1
IGHV3-7,1
IGHV3-72,1
IGHV3-73,1
IGHV3-74,1
IGHV3-9,1
IGHV4-28,1
IGHV4-30-2,1
IGHV4-39,1
IGHV4-4,1
IGHV5-10-1,1
IGHV5-51,1
IGHV6-1,1
IGKC,1
IGKJ1,1
IGKV1-12;IGKV1D-12,1
IGKV1-16,1
IGKV1-17,1
IGKV1-27,1
IGKV1-33;IGKV1D-33,1
IGKV1-39;IGKV1D-39,1
IGKV1-5,1
IGKV1-8,1
IGKV1D-16,1
IGKV2-24;IGKV2D-24,1
IGKV2-29,1
IGKV2-30,1
IGKV2-40;IGKV2D-40,1
IGKV3-11,1
IGKV3-20,1
IGKV3-7,1
IGKV3D-15,1
IGKV3D-20,1
IGKV4-1,1
IGKV6-21,1
IGKV6D-21,1
IGLC2;IGLC3,1
IGLC7,1
IGLV1-36,1
IGLV1-40,1
IGLV1-44,1
IGLV1-47,1
IGLV1-51,1
IGLV2-11,1
IGLV2-18,1
IGLV2-23,1
IGLV2-8,1
IGLV3-1,1
IGLV3-10,1
IGLV3-19,1
IGLV3-21,1
IGLV3-25,1
IGLV3-27,1
IGLV3-9,1
IGLV4-60,1
IGLV4-69,1
IGLV5-39,1
IGLV5-45,1
IGLV7-43,1
IGLV7-46,1
IGLV8-61,1
IGLV9-49,1
IL1RAP,1
IL6ST,1
ILK,1
INF2,1
INHBC,1
INHBE,1
ISLR,1
ITGA2,1
ITGA2B,1
ITGA5,1
ITGA6,1
ITGAV,1
ITGB1,1
ITGB2,1
ITGB3,1
ITGBL1,1
ITIH1,1
ITIH2,1
ITIH3,1
ITIH4,1
ITLN1,1
ITM2B,1
JAM3,1
JCHAIN,1
JUP,1
KIAA0513,1
KIF2A,1
KIT,1
KLKB1,1
KNG1,1
KPNB1,1
KPRP,1
KRT10;cRAP-KRT10,1
KRT13,1
KRT14,1
KRT16,1
KRT17,1
KRT1;cRAP-KRT1,1
KRT27,1
KRT2;cRAP-KRT2,1
KRT3,1
KRT4,1
KRT5,1
KRT6A,1
KRT6B,1
KRT71,1
KRT77,1
KRT78,1
KRT8,1
KRT80,1
KRT9;cRAP-KRT9,1
L1CAM,1
LAMA2,1
LAMA4,1
LAMB1,1
LAMC1,1
LAMP1,1
LAMP2,1
LAMTOR1,1
LAMTOR5,1
LASP1,1
LAT,1
LBP,1
LCAT,1
LCN1,1
LCP1,1
LCP2,1
LDHA,1
LDHB,1
LDLR,1
LGALS1,1
LGALS3,1
LGALS3BP,1
LGALS7,1
LGALSL,1
LIMS1,1
LMAN1,1
LMAN2,1
LMNA,1
LMNB1,1
LPA,1
LPL,1
LRBA,1
LRG1,1
LRP1,1
LRRC57,1
LRRC59,1
LRRFIP2,1
LSM3,1
LSM5,1
LTBP1,1
LTBP2,1
LTBP4,1
LTF;cRAP-LTF,1
LUM,1
LY6G6F,1
LYPLA1,1
LYVE1,1
LYZ;cRAP-LYZ,1
MADCAM1,1
MAN1A1,1
MAN2A1,1
MANSC1,1
MAPK1,1
MAPK14,1
MAPRE1,1
MAPRE2,1
MASP1,1
MASP2,1
MAVS,1
MBL2,1
MCAM,1
MDH2,1
MENT,1
MFAP4,1
MFAP5,1
MGAT1,1
MGP,1
MIA3,1
MINPP1,1
MLEC,1
MMP19,1
MMP2,1
MMP9,1
MMRN1,1
MMRN2,1
MOB1A;MOB1B,1
MPIG6B,1
MPO,1
MPST,1
MSN,1
MST1,1
MT-CO2,1
MTURN,1
MYCBP,1
MYCT1,1
MYH9,1
MYL12A;MYL12B,1
MYL1;MYL3,1
MYL6,1
MYL9,1
MYLK,1
NACA,1
NAP1L1,1
NAP1L4,1
NAPA,1
NBL1,1
NCAM1,1
NCK2,1
NCSTN,1
NDUFA2,1
NDUFB11,1
NDUFS3,1
NELL2,1
NEO1,1
NEXN,1
NHERF1,1
NID1,1
NID2,1
NIPSNAP3A,1
NME1,1
NME2,1
NOTCH1,1
NOTCH2,1
NOTCH3,1
NRCAM,1
NRP1,1
NRP2,1
NSFL1C,1
NTRK2,1
NUCB1,1
NUCB2,1
OAF,1
OGN,1
OIT3,1
OLA1,1
OLFM1,1
OMD,1
ORM1,1
ORM2,1
OSTF1,1
P4HB,1
PACSIN2,1
PAFAH1B2,1
PAM,1
PARK7,1
PARVB,1
PCBP1,1
PCBP2,1
PCDH1,1
PCDH12,1
PCDH18,1
PCDHGC3,1
PCMT1,1
PCOLCE,1
PCSK9,1
PCYOX1,1
PDCD10,1
PDCD6IP,1
PDGFC,1
PDGFRB,1
PDIA3,1
PDIA4,1
PDIA6,1
PDLIM1,1
PDLIM5,1
PDLIM7,1
PEAR1,1
PECAM1,1
PF4,1
