Unnamed: 0,Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 25,Sample 78,Sample 83,Sample 70,Sample 90,Sample 45,Sample 85,Sample 17,Sample 22,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 20,Sample 51,Sample 48
761,A1BG,8.32215352277056,8.99203448784256,9.12455073351044,9.01312172838917,9.46950981885947,8.99851723350612,9.52184125962874,9.10881761037353,8.79630778812483,8.99505457403476,9.25479532774572,9.42179142903741,8.66982695548021,9.34257050088219,9.61835927101172,9.31296155525592,7.10833984221663,9.47327564927167,8.03387408732656,8.50659810731302,8.40944494350599,7.8049027946972,8.10991907929536,8.21106593287062,8.786038173533,8.64727202922871,8.76529589788873,9.80993596595104,8.80801214262086,9.02549606465458,8.16150058309474,8.64086459305262,8.14549055746606,9.50356224185559,6.36494648853165,7.56417116430687,8.56277538207454,8.52990961582816,8.56852217902625,9.27106404481101,9.02626075950728,8.7344228794858,8.91457833487333,9.03322436199962,9.18402852981683,8.90476807062719,9.64439562910916,10.2243452177393,9.10089111957103,8.93859173620218,9.30855013297815,9.61909532260847
198,A2M,10.2098801647108,10.4300189653955,9.458293378284,10.4655306812051,10.5841580690658,10.6980702592934,10.3725040074621,10.3666055876187,10.0489725215844,10.0502049269729,11.2883492447199,11.8322896802129,10.240491384441,10.9362678546198,11.722075208933,11.2478526369522,9.17699990287858,11.7866506580428,9.95687902258503,9.67479130233369,9.94882146646219,9.29868311189939,10.3673902146468,9.40886859802469,9.07235257374685,9.06370967660473,10.3406151076857,8.18143399678363,10.9254274095936,10.429298109933,9.78630307811809,9.82738795667816,10.2721471833373,10.9445302742626,8.80484450345632,8.76934378563822,9.95035793207039,10.9331964708943,10.2520505557111,11.5374706679859,10.6551410256819,10.1698562244157,10.4684475876976,11.0609617257401,11.5987032809631,10.0327416745423,11.3846691119604,11.6194610407601,10.3858659879044,11.6041728518959,11.3090835845713,11.7078818337821
1652,ABCC2,,,,,7.90205052589559,,8.57370813106793,,,,9.08063300472241,8.19903777055009,9.08655496144707,8.20907663922847,9.51932524413378,,,7.98257701378859,6.66739091258616,8.67208045746353,8.6079549522152,,,,,,7.44058773285536,8.64141434038303,8.88557459459516,,,6.86178733958455,,8.87125740388047,,,9.15381197676733,9.76484493629055,8.70064619433933,8.17893145490116,,,8.36859950159474,9.19260935149168,8.801293022236,,,8.88639759903732,6.60165585512456,7.95782231907677,8.83477319305844,
26,ABI1,9.52219218782678,11.1216118084594,10.0415205775213,10.699717552591,10.3364069057863,10.7987796880108,10.6270356945604,10.3032615101776,10.1036348685811,8.9602734341074,10.1856426025733,9.91654961278972,9.64560698949933,9.77167159934023,10.3460597605724,9.37862636062736,,8.28212728676943,6.57855553596289,8.33842781180729,7.77057575579638,6.96488841393667,8.00085690286457,6.94963122474268,7.99463272874023,9.90224847313446,9.34478168724175,,9.76005739471397,9.50727920609268,6.65593982847936,8.11513006449134,8.35554546125846,8.63533639831723,6.85696191228177,6.48169841490155,7.02659134748676,8.33531383737718,8.13968020540924,7.3874618452257,8.28867001553225,8.93543118503848,6.5884932866283,9.44487093307428,10.5244158573435,8.6083486014824,8.81918746614791,9.20057154633807,,10.9039244224767,10.3104047948036,10.5175395661093
1191,ABI3BP,8.73859028477677,8.62530431040643,8.3261800305252,8.64875914498165,8.69453228501149,8.52393422802465,7.90925409001976,8.38050020983176,8.58832440015478,8.69053819084733,8.72182014777161,8.63746267612582,8.58329146463027,8.20033983446513,8.27311760526689,8.90269339156459,8.22173279589174,8.56824622136968,9.02705954294258,8.60089523551725,9.21276732395513,8.81609175563609,8.85828915771575,8.37239407419144,8.44315087006689,8.14407509235089,8.50798421427496,7.16223995493648,8.5699428566625,8.25727975674385,9.15752407542572,8.47515753912216,8.77904075487212,8.70474399669091,8.18917092482383,8.88726558204831,8.32119373163638,8.99554413369325,9.21648228669432,8.72404701444839,8.68315801304413,9.16736421485394,8.44272535730235,8.99042246473386,8.24808591131649,9.24189739850388,9.18292399914591,8.58894355878466,9.05421167102635,8.56609699068676,8.08880932900676,8.39452472515634
1488,ACAA1,8.11817042456326,8.20774582008737,8.42110211364389,7.83551404141452,7.96379533302192,7.76160971487074,8.52380917217516,8.37123343983016,7.6743179123176,7.07074289258001,7.7126752136972,8.13738973662502,7.40037736095201,8.60788146888414,8.51860810464064,6.8353392485183,,,,7.66801659381394,7.33249727153933,,7.35202998190222,7.02926680404651,,8.26170263323059,7.6808794702526,,8.01943317388228,7.0429531791627,,,,7.23622515689146,,,,,,,7.59702385963835,7.30938110771712,,7.16011445279487,8.14345764856086,,6.94655046152692,8.01934855115529,,7.49782129375814,7.40218583900026,7.48279849113062
861,ACAN,9.26225760351899,9.06219370101811,8.87146811895717,9.21257245323554,8.48536126370453,9.11396078772975,8.11021597218878,9.30674170686979,8.80566144580798,9.91042002251515,9.61820541269641,9.67792810930272,9.08726926877823,8.76433429183292,8.84192570794589,9.29667975136289,7.9283024388229,9.40840026821208,9.19563467187242,9.59489112480476,9.51375073697087,9.15317418712954,9.35433955337089,8.67493285796296,9.04788083443983,8.48589549733158,8.91789576704043,,8.8920470114012,8.84591714179515,9.41384653486648,9.0847351684274,9.43265175396454,9.34624597416472,7.70957217765404,8.63272635224474,9.40877360678161,9.7943399130722,9.69878967253764,9.07563742405618,9.30612076669586,9.41232719276956,9.20681658984085,8.81463823416019,8.21536637797465,9.00668198618147,9.82558234468362,8.54037144348584,9.54851573335573,9.11716173256962,8.99208735165844,8.79390539097763
1418,ACO1,7.84615940539592,7.10721666520609,8.81664972535641,7.01192203988483,7.86579668812527,6.35251628533772,7.14421037454118,7.22896694130165,7.19085706604942,,6.66528667829635,5.97772832283215,6.15257221316282,,6.94910117350399,6.38016465397411,,5.9537854674848,,,5.88809568778743,,,,,8.72577781381153,6.94080413515926,,6.74756720265557,6.7279013935932,,6.44926535774339,6.31336181018324,6.42727524109819,,,,,,,,,,,7.06275794842256,,5.40470777367128,7.29926122273223,,,,
1500,ACP1,9.04206092222263,8.12961590079852,9.79273186478785,8.2606145259225,8.36322190435988,,8.39958390815134,8.08408998801181,8.11002377426447,7.58191942497822,8.04177593578916,8.34735918398522,7.6012319061797,7.93784893210814,8.45405962938879,7.73465067171032,,7.87783465327037,,,,,,,,9.75259187703444,9.45621904715325,,8.06088373361354,8.10102890429412,,7.41074013425831,7.60832352308126,7.91957090393436,,,,,,,8.42140616866373,7.71642056379102,,,8.20044152634988,8.18208587615984,7.57633175393314,,,8.10264379403998,7.90693920039513,7.63336203034631
1265,ACP2,7.81317174928406,8.62055678038682,8.53295051845873,7.97952198245947,8.15491600239329,7.3864710608889,8.74235614630907,7.90064632567852,8.14383458399877,7.0291136303402,8.24193979546023,7.79389569384004,7.5229054910406,7.47984348368461,7.91622836894448,7.50068688832456,,6.9774909270559,,6.72501577356838,6.69990201544242,,6.30600426563274,,,8.39664691249861,8.08461299707721,,7.73632448859303,6.55271641635101,,,,7.2996100868705,,,,7.10833062239917,,6.78987690223013,,,,7.54251274616635,8.11997562412212,6.75310445527616,6.77804359344027,7.59833754440691,,8.32927681142985,8.21889548448409,8.00654954342137
