,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
158,1,0,0,0
159,0,34,13,9
159,1,12,7,6
160,0,46,20,15
160,1,0,0,0
161,0,46,20,15
161,1,0,0,0
162,0,46,20,15
162,1,0,0,0
163,0,46,20,15
163,1,0,0,0
164,0,46,20,15
164,1,0,0,0
165,0,46,20,15
165,1,0,0,0
166,0,46,20,15
166,1,0,0,0
167,0,46,20,15
167,1,0,0,0
168,0,38,19,14
168,1,8,1,1
169,0,46,20,15
169,1,0,0,0
170,0,46,20,15
170,1,0,0,0
171,0,46,20,15
171,1,0,0,0
172,0,45,20,15
172,1,1,0,0
173,0,46,20,15
173,1,0,0,0
174,0,46,20,15
174,1,0,0,0
175,0,45,20,15
175,1,1,0,0
176,0,46,20,15
176,1,0,0,0
177,0,46,20,15
177,1,0,0,0
178,0,46,20,15
178,1,0,0,0
179,0,44,20,14
179,1,2,0,1
180,0,46,20,15
180,1,0,0,0
181,0,37,19,11
181,1,9,1,4
182,0,28,19,8
182,1,18,1,7
183,0,45,18,13
183,1,1,2,2
184,0,44,19,14
184,1,2,1,1
185,0,46,20,15
185,1,0,0,0
186,0,46,20,15
186,1,0,0,0
187,0,36,17,8
187,1,10,3,7
188,0,46,20,15
188,1,0,0,0
189,0,46,20,15
189,1,0,0,0
190,0,46,20,15
190,1,0,0,0
191,0,41,19,11
191,1,5,1,4
192,0,33,14,9
192,1,13,6,6
193,0,27,15,9
193,1,19,5,6
194,0,44,20,14
194,1,2,0,1
195,0,46,20,15
195,1,0,0,0
196,0,40,18,12
196,1,6,2,3
197,0,46,20,15
197,1,0,0,0
198,0,45,18,15
198,1,1,2,0
199,0,46,20,15
199,1,0,0,0
200,0,44,19,15
200,1,2,1,0
201,0,46,20,15
201,1,0,0,0
202,0,46,20,15
202,1,0,0,0
203,0,30,18,10
203,1,16,2,5
204,0,44,19,13
204,1,2,1,2
205,0,46,20,15
205,1,0,0,0
206,0,46,19,15
206,1,0,1,0
207,0,46,20,12
207,1,0,0,3
208,0,45,20,14
208,1,1,0,1
209,0,45,19,13
209,1,1,1,2
210,0,46,20,15
210,1,0,0,0
211,0,26,10,7
211,1,20,10,8
212,0,46,20,15
212,1,0,0,0
213,0,45,20,15
213,1,1,0,0
214,0,43,19,14
214,1,3,1,1
215,0,46,20,15
215,1,0,0,0
216,0,39,15,11
216,1,7,5,4
217,0,34,17,10
217,1,12,3,5
218,0,41,19,13
218,1,5,1,2
219,0,46,20,15
219,1,0,0,0
220,0,28,14,8
220,1,18,6,7
221,0,46,20,15
221,1,0,0,0
222,0,46,20,15
222,1,0,0,0
223,0,46,20,15
223,1,0,0,0
224,0,46,20,15
224,1,0,0,0
225,0,46,20,15
225,1,0,0,0
226,0,45,20,11
226,1,1,0,4
227,0,23,18,7
227,1,23,2,8
228,0,46,20,15
228,1,0,0,0
229,0,39,18,8
229,1,7,2,7
230,0,46,20,15
230,1,0,0,0
231,0,44,20,15
231,1,2,0,0
232,0,43,19,13
232,1,3,1,2
233,0,46,20,15
233,1,0,0,0
234,0,46,20,15
234,1,0,0,0
235,0,46,20,15
235,1,0,0,0
236,0,41,19,14
236,1,5,1,1
237,0,36,18,11
237,1,10,2,4
238,0,45,18,14
238,1,1,2,1
239,0,41,20,12
239,1,5,0,3
240,0,25,17,5
240,1,21,3,10
241,0,46,20,15
241,1,0,0,0
242,0,46,20,15
242,1,0,0,0
243,0,46,20,15
243,1,0,0,0
244,0,39,16,14
244,1,7,4,1
245,0,46,20,15
245,1,0,0,0
246,0,46,20,15
246,1,0,0,0
247,0,46,20,15
247,1,0,0,0
248,0,46,20,15
248,1,0,0,0
249,0,46,20,15
249,1,0,0,0
250,0,46,20,15
250,1,0,0,0
251,0,30,13,8
251,1,16,7,7
252,0,46,20,15
252,1,0,0,0
253,0,46,20,15
253,1,0,0,0
254,0,45,20,12
254,1,1,0,3
255,0,46,20,15
255,1,0,0,0
256,0,43,19,14
256,1,3,1,1
257,0,30,15,6
257,1,16,5,9
258,0,46,20,15
258,1,0,0,0
259,0,46,20,15
259,1,0,0,0
260,0,42,20,13
260,1,4,0,2
261,0,46,20,15
261,1,0,0,0
262,0,46,20,15
262,1,0,0,0
263,0,46,20,15
263,1,0,0,0
264,0,46,20,15
264,1,0,0,0
265,0,46,20,15
265,1,0,0,0
266,0,46,20,15
266,1,0,0,0
267,0,46,20,15
267,1,0,0,0
268,0,37,18,10
268,1,9,2,5
269,0,46,20,15
269,1,0,0,0
270,0,22,15,6
270,1,24,5,9
271,0,46,20,15
271,1,0,0,0
272,0,46,20,15
272,1,0,0,0
273,0,46,20,15
273,1,0,0,0
274,0,39,19,12
274,1,7,1,3
275,0,25,17,8
275,1,21,3,7
276,0,46,20,15
276,1,0,0,0
277,0,41,20,13
277,1,5,0,2
278,0,43,19,15
278,1,3,1,0
279,0,46,20,15
279,1,0,0,0
280,0,36,18,10
280,1,10,2,5
281,0,46,20,15
281,1,0,0,0
282,0,46,20,15
282,1,0,0,0
283,0,33,18,8
283,1,13,2,7
284,0,45,20,13
284,1,1,0,2
285,0,46,20,15
285,1,0,0,0
286,0,46,20,15
286,1,0,0,0
287,0,46,20,15
287,1,0,0,0
288,0,46,20,15
288,1,0,0,0
289,0,45,19,15
289,1,1,1,0
290,0,32,19,10
290,1,14,1,5
291,0,24,15,7
291,1,22,5,8
292,0,33,18,10
292,1,13,2,5
293,0,27,18,6
293,1,19,2,9
294,0,46,20,15
294,1,0,0,0
295,0,46,20,12
295,1,0,0,3
296,0,42,20,14
296,1,4,0,1
297,0,40,18,12
297,1,6,2,3
298,0,46,20,15
298,1,0,0,0
299,0,46,20,15
299,1,0,0,0
300,0,46,20,15
300,1,0,0,0
301,0,41,19,14
301,1,5,1,1
302,0,39,17,8
302,1,7,3,7
303,0,46,20,15
303,1,0,0,0
304,0,46,20,14
304,1,0,0,1
305,0,24,17,7
305,1,22,3,8
306,0,46,20,15
306,1,0,0,0
307,0,38,19,12
307,1,8,1,3
308,0,46,20,15
308,1,0,0,0
309,0,26,16,5
309,1,20,4,10
310,0,46,20,15
310,1,0,0,0
311,0,46,20,15
311,1,0,0,0
312,0,40,19,10
312,1,6,1,5
313,0,46,20,15
313,1,0,0,0
314,0,36,17,8
314,1,10,3,7
315,0,46,20,15
315,1,0,0,0
316,0,46,20,15
316,1,0,0,0
317,0,45,20,15
317,1,1,0,0
318,0,46,20,15
318,1,0,0,0
319,0,46,20,15
319,1,0,0,0
320,0,45,19,14
320,1,1,1,1
321,0,43,17,14
321,1,3,3,1
322,0,46,20,15
322,1,0,0,0
323,0,46,20,15
323,1,0,0,0
324,0,46,20,15
324,1,0,0,0
325,0,46,20,15
325,1,0,0,0
326,0,34,17,12
326,1,12,3,3
327,0,46,20,15
327,1,0,0,0
328,0,29,8,7
328,1,17,12,8
329,0,46,20,15
329,1,0,0,0
330,0,46,20,15
330,1,0,0,0
331,0,28,15,7
331,1,18,5,8
332,0,46,20,15
332,1,0,0,0
333,0,46,20,15
333,1,0,0,0
334,0,46,20,15
334,1,0,0,0
335,0,46,20,15
335,1,0,0,0
336,0,41,18,12
336,1,5,2,3
337,0,43,18,13
337,1,3,2,2
338,0,46,20,15
338,1,0,0,0
339,0,46,20,15
339,1,0,0,0
340,0,46,20,15
340,1,0,0,0
341,0,45,20,12
341,1,1,0,3
342,0,46,20,15
342,1,0,0,0
343,0,44,20,14
343,1,2,0,1
344,0,46,20,14
344,1,0,0,1
345,0,45,20,15
345,1,1,0,0
346,0,40,20,13
346,1,6,0,2
347,0,43,19,13
347,1,3,1,2
348,0,46,20,15
348,1,0,0,0
349,0,44,20,14
349,1,2,0,1
350,0,42,20,14
350,1,4,0,1
351,0,27,18,8
351,1,19,2,7
352,0,37,16,7
352,1,9,4,8
353,0,46,20,15
353,1,0,0,0
354,0,23,17,9
354,1,23,3,6
355,0,45,20,15
355,1,1,0,0
356,0,32,14,7
356,1,14,6,8
357,0,46,20,15
357,1,0,0,0
358,0,46,20,15
358,1,0,0,0
359,0,46,20,14
359,1,0,0,1
360,0,46,20,15
360,1,0,0,0
361,0,42,20,11
361,1,4,0,4
362,0,46,20,15
362,1,0,0,0
363,0,29,15,8
363,1,17,5,7
364,0,34,17,7
364,1,12,3,8
365,0,46,20,15
365,1,0,0,0
366,0,46,20,15
366,1,0,0,0
367,0,46,20,15
367,1,0,0,0
368,0,46,20,15
368,1,0,0,0
369,0,46,20,15
369,1,0,0,0
370,0,46,20,15
370,1,0,0,0
371,0,46,20,15
371,1,0,0,0
372,0,46,20,15
372,1,0,0,0
373,0,31,15,7
373,1,15,5,8
374,0,38,19,10
374,1,8,1,5
375,0,46,20,15
375,1,0,0,0
376,0,46,20,15
376,1,0,0,0
377,0,46,20,15
377,1,0,0,0
378,0,46,20,15
378,1,0,0,0
379,0,46,20,15
379,1,0,0,0
380,0,46,20,15
380,1,0,0,0
381,0,46,20,15
381,1,0,0,0
382,0,46,20,15
382,1,0,0,0
383,0,46,20,15
