sample,missingness_percentage
Sample 1,23.115220483641536
Sample 2,3.769559032716927
Sample 3,1.422475106685633
Sample 4,5.120910384068279
Sample 5,2.204836415362731
Sample 60,2.4893314366998576
Sample 6,0.6401137980085349
Sample 7,2.844950213371266
Sample 8,1.9203413940256047
Sample 9,11.806543385490755
Sample 62,5.61877667140825
Sample 10,2.631578947368421
Sample 11,2.631578947368421
Sample 21,1.7069701280227598
Sample 12,2.1337126600284493
Sample 13,2.3470839260312943
Sample 63,1.5647226173541962
Sample 14,1.9203413940256047
Sample 15,1.9203413940256047
Sample 23,4.125177809388336
Sample 16,2.631578947368421
Sample 17,1.6358463726884778
Sample 64,16.42958748221906
Sample 18,3.627311522048364
Sample 19,6.543385490753911
Sample 26,5.832147937411095
Sample 20,2.4893314366998576
Sample 22,5.405405405405405
Sample 24,1.6358463726884778
Sample 25,1.7780938833570414
Sample 30,6.330014224751067
Sample 53,9.103840682788052
Sample 32,11.2375533428165
Sample 33,22.972972972972975
Sample 67,39.046941678520625
Sample 34,14.15362731152205
Sample 36,20.98150782361309
Sample 68,32.147937411095306
Sample 38,17.78093883357041
Sample 39,24.822190611664297
Sample 41,13.300142247510669
Sample 69,26.102418207681367
Sample 43,4.907539118065434
Sample 91,2.1337126600284493
Sample 45,2.4893314366998576
Sample 70,11.024182076813656
Sample 46,52.773826458036986
Sample 47,2.062588904694168
Sample 92,1.7780938833570414
Sample 48,10.953058321479373
Sample 49,4.409672830725462
Sample 71,34.85064011379801
Sample 50,30.440967283072546
Sample 93,2.5604551920341394
Sample 54,13.726884779516357
Sample 55,5.049786628733997
Sample 57,44.31009957325747
Sample 94,1.4935988620199145
Sample 73,22.119487908961595
Sample 74,5.761024182076813
Sample 80,15.433854907539118
Sample 81,15.647226173541965
Sample 96,4.978662873399715
Sample 75,2.4893314366998576
Sample 85,6.187766714082503
Sample 86,2.418207681365576
Sample 88,8.108108108108109
Sample 89,10.099573257467995
Sample 72,10.953058321479373
Sample 82,14.011379800853485
Sample 35,33.78378378378378
Sample 78,17.21194879089616
Sample 77,15.362731152204837
Sample 95,30.014224751066855
Sample 29,25.248933143669987
Sample 37,16.002844950213372
Sample 79,25.817923186344238
Sample 61,29.37411095305832
Sample 66,18.278805120910384
Sample 31,39.40256045519203
Sample 52,48.22190611664296
Sample 76,28.37837837837838
Sample 83,28.3072546230441
Sample 87,20.98150782361309
Sample 90,42.10526315789473
