protein_index,protein,g_statistic,p_value,comment
1,1,9.836114634990196,0.007313324523024952,Test performed
2,2,7.222073202529171,0.027023819416833905,Test performed
3,3,6.376224162508909,0.04124967350535556,Test performed
35,35,6.010968379446641,0.049514773978679885,Test performed
42,42,6.60434615126951,0.0368031045116915,Test performed
79,79,8.624068322981365,0.01340625135889999,Test performed
92,92,7.536629109225874,0.023090949041657715,Test performed
121,121,6.269159038901601,0.04351804847568486,Test performed
130,130,6.376224162508909,0.04124967350535556,Test performed
134,134,6.60434615126951,0.0368031045116915,Test performed
182,182,9.242595013681969,0.009840020281018488,Test performed
227,227,10.447159090909093,0.0053880079471952625,Test performed
229,229,8.651626254180602,0.013222793912121698,Test performed
240,240,9.985276432497143,0.006787733341112277,Test performed
275,275,6.092949509116411,0.047526170842671994,Test performed
293,293,10.020383631713553,0.006669623843936612,Test performed
302,302,7.320718110613809,0.025723274989634,Test performed
305,305,7.430669466403164,0.02434728990455982,Test performed
309,309,7.762812210915818,0.020621808348858597,Test performed
351,351,7.230718973397399,0.026907250679680608,Test performed
352,352,7.201956521739128,0.027297005788872935,Test performed
354,354,7.146906887755102,0.028058786723904366,Test performed
364,364,6.473637637702888,0.03928868092169828,Test performed
401,401,7.649118187385179,0.021828057537932117,Test performed
407,407,10.3729118993135,0.005591789321979301,Test performed
433,433,8.60562111801242,0.013530477316961696,Test performed
436,436,10.803223449750533,0.004509307319870188,Test performed
448,448,7.676038614789642,0.021536215751420687,Test performed
458,458,8.60562111801242,0.013530477316961696,Test performed
478,478,6.885000000000002,0.031984623733233124,Test performed
488,488,14.571195652173916,0.000685338400686427,Test performed
514,514,8.32994884910486,0.015530112084593773,Test performed
536,536,9.115886287625418,0.010483600039970826,Test performed
542,542,6.626456939799331,0.03639847248565959,Test performed
556,556,7.430669466403164,0.02434728990455982,Test performed
566,566,12.248140772271205,0.0021895255857427077,Test performed
570,570,10.02354449310971,0.00665909129084645,Test performed
575,575,7.871739130434782,0.019528710454726903,Test performed
576,576,9.844369109151717,0.0072832029011650696,Test performed
609,609,8.796061381074168,0.012301541607219952,Test performed
613,613,8.19767535338648,0.016591949407779374,Test performed
658,658,6.952851874445431,0.030917715654190013,Test performed
668,668,9.743478260869566,0.0076600319023950175,Test performed
710,710,8.404765886287626,0.014959885755284447,Test performed
727,727,8.0988917604135,0.017432031397379928,Test performed
746,746,11.942152000922615,0.002551494532138656,Test performed
749,749,6.5132487172562765,0.038518202445438514,Test performed
755,755,6.166565217391304,0.045808637740241964,Test performed
756,756,8.069822935583804,0.017687245934803378,Test performed
786,786,11.327413818557613,0.0034696314214099737,Test performed
790,790,6.553047685834503,0.037759286145927023,Test performed
832,832,8.651626254180602,0.013222793912121698,Test performed
833,833,9.718135814108253,0.007757711430344611,Test performed
842,842,11.386252977963075,0.003369043209643258,Test performed
844,844,10.248807723467456,0.005949763180973684,Test performed
850,850,9.237228260869564,0.009866460217562996,Test performed
857,857,10.248807723467456,0.005949763180973684,Test performed
878,878,7.030434782608696,0.029741336743286335,Test performed
879,879,7.662410772225828,0.02168346292587131,Test performed
884,884,6.529624505928854,0.03820410711825293,Test performed
897,897,8.32994884910486,0.015530112084593773,Test performed
913,913,7.761572230014027,0.020634597637323792,Test performed
925,925,8.323894348894349,0.015577196850760136,Test performed
944,944,6.269159038901601,0.04351804847568486,Test performed
954,954,10.213043478260872,0.006057114550176136,Test performed
972,972,5.992911717218314,0.049963833833468474,Test performed
975,975,7.662410772225828,0.02168346292587131,Test performed
978,978,7.86916875099782,0.019553824687438555,Test performed
990,990,8.82560403726708,0.012121166966230714,Test performed
1005,1005,6.593245737063556,0.03700793727006005,Test performed
1019,1019,14.932939508506614,0.0005719438394106123,Test performed
1021,1021,7.222073202529171,0.027023819416833905,Test performed
1037,1037,9.742449900386735,0.007663971552206091,Test performed
1038,1038,9.740217391304348,0.007672531271778936,Test performed
1041,1041,10.479113671438455,0.005302606240926731,Test performed
