sample,missingness_percentage
Sample 1,7.830188679245283
Sample 2,1.4150943396226416
Sample 3,0.4716981132075472
Sample 4,0.8490566037735849
Sample 5,0.6603773584905661
Sample 60,0.4716981132075472
Sample 6,0.2830188679245283
Sample 7,1.2264150943396228
Sample 8,0.6603773584905661
Sample 9,4.528301886792453
Sample 62,0.7547169811320755
Sample 10,0.6603773584905661
Sample 11,0.4716981132075472
Sample 21,0.4716981132075472
Sample 12,0.37735849056603776
Sample 13,0.9433962264150944
Sample 63,0.4716981132075472
Sample 14,0.8490566037735849
Sample 15,0.7547169811320755
Sample 23,1.3207547169811322
Sample 16,0.8490566037735849
Sample 17,0.4716981132075472
Sample 64,3.3962264150943398
Sample 18,0.9433962264150944
Sample 19,1.2264150943396228
Sample 26,0.7547169811320755
Sample 20,0.5660377358490566
Sample 22,0.8490566037735849
Sample 24,0.2830188679245283
Sample 25,0.4716981132075472
Sample 30,0.37735849056603776
Sample 53,1.6981132075471699
Sample 32,1.9811320754716981
Sample 33,7.264150943396226
Sample 67,21.50943396226415
Sample 34,2.8301886792452833
Sample 36,6.226415094339623
Sample 68,17.641509433962263
Sample 38,3.9622641509433962
Sample 39,8.867924528301886
Sample 41,2.8301886792452833
Sample 69,13.39622641509434
Sample 43,2.547169811320755
Sample 91,0.5660377358490566
Sample 45,0.9433962264150944
Sample 70,3.490566037735849
Sample 46,39.62264150943396
Sample 47,0.4716981132075472
Sample 92,0.4716981132075472
Sample 48,4.056603773584905
Sample 49,1.4150943396226416
Sample 71,18.30188679245283
Sample 50,13.20754716981132
Sample 93,0.7547169811320755
Sample 54,2.0754716981132075
Sample 55,0.37735849056603776
Sample 57,28.39622641509434
Sample 94,0.2830188679245283
Sample 73,9.716981132075473
Sample 74,0.8490566037735849
Sample 80,2.9245283018867925
Sample 81,3.018867924528302
Sample 96,0.8490566037735849
Sample 75,1.1320754716981132
Sample 85,0.5660377358490566
Sample 86,0.7547169811320755
Sample 88,1.1320754716981132
Sample 89,4.056603773584905
Sample 72,2.0754716981132075
Sample 82,3.1132075471698113
Sample 35,16.32075471698113
Sample 78,4.905660377358491
Sample 77,1.9811320754716981
Sample 95,15.660377358490566
Sample 29,10.660377358490566
Sample 37,3.207547169811321
Sample 79,10.377358490566039
Sample 61,14.056603773584905
Sample 66,3.9622641509433962
Sample 31,25.566037735849058
Sample 52,33.30188679245283
Sample 76,12.452830188679245
Sample 83,13.773584905660377
Sample 87,7.264150943396226
Sample 90,27.547169811320753
