Genes,Median_Abundance,Missingness_Rate,Below_Threshold,Gene_Symbol
TGFBR3,7.05557889403448,0.17333333333333334,True,TGFBR3
GRN,7.10485474484738,0.16,True,GRN
AKAP12,6.97775349261283,0.13333333333333333,True,AKAP12
ITM2B,6.8634101708949,0.10666666666666667,True,ITM2B
