,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
158,1,19,5,8
159,0,49,21,15
159,1,0,0,0
160,0,30,16,13
160,1,19,5,2
161,0,49,21,15
161,1,0,0,0
162,0,49,21,15
162,1,0,0,0
163,0,48,20,15
163,1,1,1,0
164,0,49,21,15
164,1,0,0,0
165,0,26,13,10
165,1,23,8,5
166,0,48,21,15
166,1,1,0,0
167,0,49,21,15
167,1,0,0,0
168,0,11,11,4
168,1,38,10,11
169,0,49,21,15
169,1,0,0,0
170,0,27,14,7
170,1,22,7,8
171,0,46,21,14
171,1,3,0,1
172,0,44,19,12
172,1,5,2,3
173,0,49,21,15
173,1,0,0,0
174,0,49,21,15
174,1,0,0,0
175,0,49,21,15
175,1,0,0,0
176,0,49,21,15
176,1,0,0,0
177,0,36,14,9
177,1,13,7,6
178,0,49,21,15
178,1,0,0,0
179,0,49,21,15
179,1,0,0,0
180,0,49,21,15
180,1,0,0,0
181,0,49,21,15
181,1,0,0,0
182,0,49,21,15
182,1,0,0,0
183,0,48,21,15
183,1,1,0,0
184,0,49,21,15
184,1,0,0,0
185,0,16,6,4
185,1,33,15,11
186,0,49,21,15
186,1,0,0,0
187,0,39,20,14
187,1,10,1,1
188,0,48,21,15
188,1,1,0,0
189,0,48,21,15
189,1,1,0,0
190,0,49,21,15
190,1,0,0,0
191,0,46,20,15
191,1,3,1,0
192,0,49,21,15
192,1,0,0,0
193,0,49,21,15
193,1,0,0,0
194,0,47,20,15
194,1,2,1,0
195,0,49,21,15
195,1,0,0,0
196,0,49,21,15
196,1,0,0,0
197,0,49,21,15
197,1,0,0,0
198,0,44,21,14
198,1,5,0,1
199,0,49,21,15
199,1,0,0,0
200,0,37,19,11
200,1,12,2,4
201,0,28,19,8
201,1,21,2,7
202,0,46,18,13
202,1,3,3,2
203,0,45,19,14
203,1,4,2,1
204,0,49,21,15
204,1,0,0,0
205,0,48,20,15
205,1,1,1,0
206,0,3,0,1
206,1,46,21,14
207,0,37,18,8
207,1,12,3,7
208,0,49,21,15
208,1,0,0,0
209,0,49,21,15
209,1,0,0,0
210,0,49,21,15
210,1,0,0,0
211,0,43,20,11
211,1,6,1,4
212,0,34,14,9
212,1,15,7,6
213,0,27,15,9
213,1,22,6,6
214,0,46,21,14
214,1,3,0,1
215,0,49,21,15
215,1,0,0,0
216,0,42,18,12
216,1,7,3,3
217,0,49,20,15
217,1,0,1,0
218,0,46,19,15
218,1,3,2,0
219,0,49,21,15
219,1,0,0,0
220,0,46,19,15
220,1,3,2,0
221,0,49,21,15
221,1,0,0,0
222,0,49,21,15
222,1,0,0,0
223,0,30,18,10
223,1,19,3,5
224,0,45,20,13
224,1,4,1,2
225,0,49,21,15
225,1,0,0,0
226,0,48,20,15
226,1,1,1,0
227,0,46,21,12
227,1,3,0,3
228,0,5,3,4
228,1,44,18,11
229,0,46,21,14
229,1,3,0,1
230,0,47,20,13
230,1,2,1,2
231,0,49,21,15
231,1,0,0,0
232,0,26,10,7
232,1,23,11,8
233,0,49,21,15
233,1,0,0,0
234,0,47,21,15
234,1,2,0,0
235,0,43,20,14
235,1,6,1,1
236,0,49,21,15
236,1,0,0,0
237,0,40,15,11
237,1,9,6,4
238,0,34,17,10
238,1,15,4,5
239,0,41,19,13
239,1,8,2,2
240,0,48,21,15
240,1,1,0,0
241,0,28,15,8
241,1,21,6,7
242,0,49,21,15
242,1,0,0,0
243,0,49,21,15
243,1,0,0,0
244,0,49,21,15
244,1,0,0,0
245,0,49,21,15
245,1,0,0,0
246,0,49,21,15
246,1,0,0,0
247,0,47,21,11
247,1,2,0,4
248,0,23,18,7
248,1,26,3,8
249,0,49,21,15
249,1,0,0,0
250,0,39,18,8
250,1,10,3,7
251,0,14,8,6
251,1,35,13,9
252,0,49,21,15
252,1,0,0,0
253,0,46,20,15
253,1,3,1,0
254,0,43,19,13
254,1,6,2,2
255,0,49,21,15
255,1,0,0,0
256,0,49,21,15
256,1,0,0,0
257,0,49,21,15
257,1,0,0,0
258,0,42,19,14
258,1,7,2,1
259,0,36,18,11
259,1,13,3,4
260,0,46,19,14
260,1,3,2,1
261,0,41,21,12
261,1,8,0,3
262,0,19,11,6
262,1,30,10,9
263,0,25,17,5
263,1,24,4,10
264,0,11,5,1
264,1,38,16,14
265,0,48,21,15
265,1,1,0,0
266,0,49,21,15
266,1,0,0,0
267,0,49,21,15
267,1,0,0,0
268,0,39,17,14
268,1,10,4,1
269,0,20,13,6
269,1,29,8,9
270,0,49,21,15
270,1,0,0,0
271,0,49,21,15
271,1,0,0,0
272,0,49,21,15
272,1,0,0,0
273,0,49,21,15
273,1,0,0,0
274,0,8,7,1
274,1,41,14,14
275,0,49,21,15
275,1,0,0,0
276,0,49,21,15
276,1,0,0,0
277,0,30,14,8
277,1,19,7,7
278,0,49,21,15
278,1,0,0,0
279,0,48,21,15
279,1,1,0,0
280,0,47,20,12
280,1,2,1,3
281,0,49,21,15
281,1,0,0,0
282,0,44,19,14
282,1,5,2,1
283,0,30,15,6
283,1,19,6,9
284,0,49,21,15
284,1,0,0,0
285,0,49,21,15
285,1,0,0,0
286,0,42,20,13
286,1,7,1,2
287,0,49,21,15
287,1,0,0,0
288,0,49,21,15
288,1,0,0,0
289,0,15,12,5
289,1,34,9,10
290,0,49,21,15
290,1,0,0,0
291,0,49,21,15
291,1,0,0,0
292,0,49,20,15
292,1,0,1,0
293,0,49,21,15
293,1,0,0,0
294,0,49,21,15
294,1,0,0,0
295,0,38,18,10
295,1,11,3,5
296,0,49,21,15
296,1,0,0,0
297,0,22,15,6
297,1,27,6,9
298,0,49,21,15
298,1,0,0,0
299,0,49,21,15
299,1,0,0,0
300,0,49,21,15
300,1,0,0,0
301,0,40,19,12
301,1,9,2,3
302,0,25,17,8
302,1,24,4,7
303,0,49,21,15
303,1,0,0,0
304,0,41,20,13
304,1,8,1,2
305,0,45,20,15
305,1,4,1,0
306,0,48,21,15
306,1,1,0,0
307,0,36,18,10
307,1,13,3,5
308,0,49,21,15
308,1,0,0,0
309,0,49,21,15
309,1,0,0,0
310,0,33,18,8
310,1,16,3,7
311,0,47,21,13
311,1,2,0,2
312,0,49,21,15
312,1,0,0,0
313,0,49,21,15
313,1,0,0,0
314,0,49,21,15
314,1,0,0,0
315,0,49,21,15
315,1,0,0,0
316,0,46,19,15
316,1,3,2,0
317,0,32,19,10
317,1,17,2,5
318,0,24,15,7
318,1,25,6,8
319,0,33,18,10
319,1,16,3,5
320,0,27,18,6
320,1,22,3,9
321,0,49,21,15
321,1,0,0,0
322,0,48,21,12
322,1,1,0,3
323,0,42,21,14
323,1,7,0,1
324,0,40,19,12
324,1,9,2,3
325,0,49,21,15
325,1,0,0,0
326,0,49,21,15
326,1,0,0,0
327,0,49,21,15
327,1,0,0,0
328,0,42,19,14
328,1,7,2,1
329,0,39,17,8
329,1,10,4,7
330,0,49,21,15
330,1,0,0,0
331,0,49,21,14
331,1,0,0,1
332,0,17,15,3
332,1,32,6,12
333,0,24,17,7
333,1,25,4,8
334,0,49,21,15
334,1,0,0,0
335,0,24,7,6
335,1,25,14,9
336,0,38,20,12
336,1,11,1,3
337,0,49,21,15
337,1,0,0,0
338,0,27,16,5
338,1,22,5,10
339,0,48,21,15
339,1,1,0,0
340,0,49,21,15
340,1,0,0,0
341,0,40,19,10
341,1,9,2,5
342,0,49,21,15
342,1,0,0,0
343,0,36,17,8
343,1,13,4,7
344,0,49,21,15
344,1,0,0,0
345,0,3,2,1
345,1,46,19,14
346,0,49,21,15
346,1,0,0,0
347,0,47,20,15
347,1,2,1,0
348,0,49,21,15
348,1,0,0,0
349,0,49,21,15
349,1,0,0,0
350,0,46,20,14
350,1,3,1,1
351,0,44,18,14
351,1,5,3,1
352,0,49,21,15
352,1,0,0,0
353,0,49,21,15
353,1,0,0,0
354,0,49,21,15
354,1,0,0,0
355,0,48,21,15
355,1,1,0,0
356,0,34,17,12
356,1,15,4,3
357,0,49,21,15
357,1,0,0,0
358,0,29,9,7
358,1,20,12,8
359,0,49,21,15
359,1,0,0,0
360,0,49,21,15
360,1,0,0,0
361,0,28,15,7
361,1,21,6,8
362,0,49,21,15
362,1,0,0,0
363,0,48,21,15
363,1,1,0,0
364,0,49,21,15
364,1,0,0,0
365,0,49,21,15
365,1,0,0,0
366,0,43,18,12
366,1,6,3,3
367,0,46,18,13
367,1,3,3,2
368,0,49,21,15
368,1,0,0,0
369,0,49,21,15
369,1,0,0,0
370,0,49,21,15
370,1,0,0,0
371,0,46,21,12
371,1,3,0,3
372,0,49,21,15
372,1,0,0,0
373,0,47,20,14
