fold,pathway,MSE,MAE,R2,Pearson,Spearman
0,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,3.825996160507202,1.656941294670105,-0.3799126148223877,-0.22600211,-0.28181818181818186
0,REACTOME_COLLAGEN_DEGRADATION,1.1553053855895996,0.8617303371429443,-0.0058803558349609375,-0.22890249,-0.3727272727272728
0,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,1.7705687284469604,1.1229630708694458,-0.036521196365356445,-0.14705989,-0.27272727272727276
0,REACTOME_INTEGRIN_SIGNALING,1.8529372215270996,1.2176457643508911,-0.09273898601531982,0.6619537,0.5818181818181819
0,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,3.0227577686309814,1.5690501928329468,-0.21292436122894287,-0.21726216,-0.05454545454545456
1,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.543148934841156,0.6315761208534241,-0.00413203239440918,0.09597806,0.09090909090909091
1,REACTOME_COLLAGEN_DEGRADATION,1.8886138200759888,1.2301206588745117,-0.2417370080947876,0.3483255,0.4090909090909091
1,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,1.2625421285629272,1.0045174360275269,-0.12290143966674805,0.44433427,0.5727272727272729
1,REACTOME_INTEGRIN_SIGNALING,2.851499319076538,1.5106526613235474,-0.6638014316558838,0.36641276,0.5363636363636364
1,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.9339199066162109,0.9141754508018494,-0.028948664665222168,0.24746524,0.28181818181818186
2,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.7143865823745728,0.64546138048172,-0.13386094570159912,0.50075233,0.7818181818181817
2,REACTOME_COLLAGEN_DEGRADATION,0.9514389038085938,0.78899747133255,-0.36303412914276123,0.15608223,0.23636363636363633
2,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,1.0241914987564087,0.828075110912323,-0.2810786962509155,0.03443005,0.06666666666666665
2,REACTOME_INTEGRIN_SIGNALING,0.35958796739578247,0.4998849034309387,-0.04123568534851074,-0.6722976,-0.6484848484848483
2,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.9244298934936523,0.7501710653305054,-0.5044858455657959,0.23501523,-0.09090909090909088
3,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.885662853717804,0.8185776472091675,-0.015383243560791016,0.08946542,0.22424242424242422
3,REACTOME_COLLAGEN_DEGRADATION,0.4342436194419861,0.5364671945571899,-0.06052136421203613,-0.26128343,0.12727272727272726
3,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.5385562777519226,0.6303674578666687,-0.04356837272644043,-0.3224727,-0.17575757575757575
3,REACTOME_INTEGRIN_SIGNALING,0.6807796359062195,0.6128877401351929,-0.5767991542816162,0.3863095,0.1515151515151515
3,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.584119439125061,0.6168150901794434,-0.009879112243652344,0.3766777,0.34545454545454546
4,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.5135865211486816,0.5802323818206787,-0.44229137897491455,0.58730334,0.6727272727272726
4,REACTOME_COLLAGEN_DEGRADATION,1.0009121894836426,0.8488022685050964,-0.06743144989013672,-0.023969939,0.23636363636363633
4,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.672468900680542,0.661298930644989,-0.2451561689376831,0.48929098,0.5030303030303029
4,REACTOME_INTEGRIN_SIGNALING,0.42404159903526306,0.6235852241516113,0.01487654447555542,0.15990947,0.12727272727272726
4,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.4747851490974426,0.6309323310852051,-0.7006367444992065,0.09766821,0.32121212121212117
