Community,Mean edge importance,Number of proteins,All subnetwork proteins,Pathway,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Interleukin-12 Signaling R-HSA-9020591,0.00010207806082675267,0.0029377083363540117,11.436363636363636,105.097582734731,HSPA9;ANXA2;GSTO1;TCP1;TALDO1;P4HB
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Activation Of BAD And Translocation To Mitochondria R-HSA-111447,0.00010618222902484379,0.0029377083363540117,37.23529411764706,340.716114954314,YWHAE;YWHAB;YWHAZ;YWHAG
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Pyruvate Metabolism R-HSA-70268,0.00010618222902484379,0.0029377083363540117,37.23529411764706,340.716114954314,LDHA;GLO1;VDAC1;HAGH
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,0.00010618222902484379,0.0029377083363540117,37.23529411764706,340.716114954314,YWHAE;YWHAB;YWHAZ;YWHAG
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779,0.00010618222902484379,0.0029377083363540117,37.23529411764706,340.716114954314,YWHAE;YWHAB;YWHAZ;YWHAG
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Protein Localization R-HSA-9609507,0.0001510886600655577,0.003918862120450403,10.388429752066116,91.39370398400814,HSPA9;ATP5F1A;ATP5F1B;IDH1;VDAC1;HSPD1
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,TP53 Regulates Metabolic Genes R-HSA-5628897,0.00021705680963256645,0.005191762039556898,9.515151515151516,80.26364706507198,YWHAE;PRDX2;YWHAB;GSR;YWHAZ;YWHAG
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,0.00023006509482841018,0.005191762039556898,13.443496801705757,112.61816594949464,CCT6A;TCP1;CCT7;CCT5;CCT4
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Activation Of BH3-only Proteins R-HSA-114452,0.00023769512952188205,0.005191762039556898,24.80392156862745,206.9768611253808,YWHAE;YWHAB;YWHAZ;YWHAG
3,0.4611,72,SPTAN1;GPX3;ANXA2;GPI;PRDX2;LDHA;PDIA3;ENO2;TALDO1;UBE2H;RBX1;BLVRB;HSPA9;MAPK14;CCT5;HAGH;UQCRFS1;HP;CALR;ACTBL2;TPI1;HSP90B1;ATP5PD;PRDX3;YWHAG;PDIA6;SOD2;TCP1;GLRX3;GPX4;ORM2;P4HB;YWHAZ;EEF1G;DPYSL2;ACTG1;MMP2;YWHAE;ATP5F1A;PRDX6;CANX;LAP3;GSR;APOA1;GLO1;NDUFS8;IDH1;SOD3;CCT4;HSPD1;APOE;GLRX;ALDOA;ANXA1;GSTO1;YWHAB;CCT6A;ERP44;CASP14;HSPB1;VDAC1;ORM1;STOM;ATP5F1B;PGK1;PARK7;PLG;NME1;DLD;TXNDC5;PEBP1;CCT7,Transcriptional Regulation By TP53 R-HSA-3700989,0.0003612031011274063,0.007494964348393681,6.72,53.26319141360617,YWHAE;PRDX2;YWHAB;GSR;MAPK14;YWHAZ;YWHAG
