gene1,gene2,combined_score
A1BG,A2M,692
A1BG,AFM,544
A1BG,AHSG,849
A1BG,ALDOA,448
A1BG,AMBP,716
A1BG,APCS,460
A1BG,APOA1,509
A1BG,APOA2,434
A1BG,APOA4,465
A1BG,APOH,525
A1BG,AZGP1,535
A1BG,C1R,457
A1BG,C1S,503
A1BG,C3,430
A1BG,C9,442
A1BG,CEACAM6,575
A1BG,CFB,529
A1BG,CFD,521
A1BG,CLU,435
A1BG,COL6A1,405
A1BG,CP,516
A1BG,CRISP3,941
A1BG,CRK,745
A1BG,CRKL,553
A1BG,EGFR,495
A1BG,ERBB2,479
A1BG,FGA,578
A1BG,FGB,599
A1BG,FGG,456
A1BG,FN1,513
A1BG,GAB1,401
A1BG,GC,622
A1BG,GDPD1,460
A1BG,GRB2,992
A1BG,GSN,416
A1BG,HP,628
A1BG,HPX,632
A1BG,HRG,496
A1BG,INPP5D,420
A1BG,INPPL1,403
A1BG,ITIH1,493
A1BG,ITIH2,491
A1BG,ITIH3,484
A1BG,ITIH4,588
A1BG,KCMF1,420
A1BG,KNG1,417
A1BG,LRG1,524
A1BG,ORM1,592
A1BG,ORM2,549
A1BG,PIK3R1,431
A1BG,PTPN11,940
A1BG,SERPINA1,735
A1BG,SERPINA3,663
A1BG,SHC1,607
A1BG,STAT5A,557
A1BG,STAT5B,561
A1BG,TF,682
A1BG,TTR,531
A2M,AARSD1,452
A2M,ACAN,582
A2M,ACP5,452
A2M,ACTG1,434
A2M,ACTN4,448
A2M,ADAM10,497
A2M,ADAMTS1,428
A2M,ADAMTS7,664
A2M,AFM,478
A2M,AGT,471
A2M,AHSG,803
A2M,AIF1,423
A2M,ALDOA,464
A2M,AMBP,871
A2M,ANXA6,454
A2M,APBB1,668
A2M,APBB2,404
A2M,APCS,534
A2M,APLP2,429
A2M,APOA1,998
A2M,APOA2,772
A2M,APOA4,644
A2M,APOB,585
A2M,APOC1,622
A2M,APOC2,623
A2M,APOC3,660
A2M,APOD,574
A2M,APOE,975
A2M,APOH,752
A2M,APOL1,491
A2M,APP,905
A2M,AZGP1,443
A2M,AZU1,477
A2M,BLMH,448
A2M,C1QBP,669
A2M,C1R,694
A2M,C1S,578
A2M,C3,407
A2M,C4A,530
A2M,C4BPA,448
A2M,C7,571
A2M,C9,463
A2M,CD5L,512
A2M,CFB,726
A2M,CFH,559
A2M,CFI,502
A2M,CFP,580
A2M,CHI3L1,654
A2M,CLEC3B,542
A2M,CLU,896
A2M,CP,889
A2M,CPB2,805
A2M,CRP,623
A2M,CSPG4,437
A2M,CST3,414
A2M,CTSB,768
A2M,CXCL10,454
A2M,DCN,434
A2M,EEF1A2,475
A2M,EGFR,491
A2M,ELANE,735
A2M,ELN,401
A2M,F10,475
A2M,F11,620
A2M,F12,534
A2M,F13A1,572
A2M,F13B,534
A2M,F2,700
A2M,F3,541
A2M,F5,610
A2M,F7,526
A2M,F8,610
A2M,F9,428
A2M,FBN1,517
A2M,FCGBP,543
A2M,FGA,832
A2M,FGB,841
A2M,FGF2,665
A2M,FGG,761
A2M,FN1,851
A2M,GAPDH,542
A2M,GC,654
A2M,GDPD1,441
A2M,GPT,655
A2M,GSN,498
A2M,HFE,457
A2M,HP,997
A2M,HPR,634
A2M,HPX,824
A2M,HRG,762
A2M,HSP90B1,593
A2M,HSPA4,574
A2M,HSPA5,972
A2M,IGF2R,433
A2M,IGFBP1,585
A2M,IGFBP3,563
A2M,ISG15,449
A2M,ITIH2,632
A2M,ITIH3,468
A2M,ITIH4,447
A2M,KLKB1,957
A2M,KNG1,927
A2M,LCAT,608
A2M,LGALS3BP,563
A2M,LPA,450
A2M,LRP1,998
A2M,LRPAP1,613
A2M,LUM,435
A2M,MAPT,460
A2M,MASP1,438
A2M,MASP2,411
A2M,MBL2,640
A2M,MFGE8,505
A2M,MMP1,796
A2M,MMP12,641
A2M,MMP19,585
A2M,MMP2,953
A2M,MMP7,662
A2M,MMP8,856
A2M,MMP9,845
A2M,MT1E,441
A2M,MYO1G,505
A2M,NFKB1,409
A2M,NME2,444
A2M,NT5E,473
A2M,ORM1,809
A2M,ORM2,808
A2M,PDGFRB,578
A2M,PF4,467
A2M,PIGR,575
A2M,PLAT,671
A2M,PLAU,715
A2M,PLG,779
A2M,PON1,516
A2M,PROC,931
A2M,PRSS3,429
A2M,PSEN1,553
A2M,PTGDS,560
A2M,PZP,617
A2M,RAB3IL1,950
A2M,RNASE3,570
A2M,SAA1,448
A2M,SAA2,430
A2M,SCIN,422
A2M,SELENBP1,456
A2M,SELENOP,648
A2M,SERPINA1,980
A2M,SERPINA10,435
A2M,SERPINA3,929
A2M,SERPINA4,408
A2M,SERPINA5,485
A2M,SERPINA7,459
A2M,SERPINB1,568
A2M,SERPIND1,771
A2M,SERPINE1,804
A2M,SERPINF1,880
A2M,SERPINF2,968
A2M,SERPING1,905
A2M,SHBG,414
A2M,SLC40A1,478
A2M,SORL1,585
A2M,SPARCL1,418
A2M,SRRM1,416
A2M,TF,820
A2M,TGFB1,910
A2M,THBD,415
A2M,THBS1,592
A2M,TIMP1,736
A2M,TIMP2,466
A2M,TIMP3,484
A2M,TTR,905
A2M,VLDLR,607
A2M,VTN,524
A2M,VWF,603
AAAS,AGO2,403
AAAS,AHCTF1,869
AAAS,ALYREF,575
AAAS,BCS1L,409
AAAS,CDC40,416
AAAS,CHTOP,453
AAAS,COPS7A,462
AAAS,COPS7B,495
AAAS,CPSF1,467
AAAS,CPSF2,414
AAAS,CPSF3,538
AAAS,CPSF4,416
AAAS,DCPS,456
AAAS,DHX38,420
AAAS,DIAPH1,405
AAAS,EIF4A3,535
AAAS,EIF4E,413
AAAS,FIP1L1,435
AAAS,FMNL3,400
AAAS,FTH1,570
AAAS,FYTTD1,415
AAAS,GEMIN4,420
AAAS,GEMIN5,445
AAAS,GLE1,844
AAAS,HDAC4,400
AAAS,HIKESHI,442
AAAS,HNRNPC,476
AAAS,HSPA12A,400
AAAS,HSPA12B,400
AAAS,HSPA13,403
AAAS,HSPA14,416
AAAS,HSPA1L,400
AAAS,HSPA2,405
AAAS,HSPA4,416
AAAS,HSPA4L,405
AAAS,HSPA5,400
AAAS,HSPA6,413
AAAS,HSPA8,416
AAAS,HSPA9,413
AAAS,INTS9,451
AAAS,IPO8,436
AAAS,IQGAP1,407
AAAS,KPNB1,705
AAAS,LAS1L,456
AAAS,MAGOH,767
AAAS,NCBP1,513
AAAS,NCBP2,513
AAAS,NDC1,994
AAAS,NEK7,401
AAAS,NEK9,418
AAAS,NPM1,511
AAAS,NUP107,980
AAAS,NUP133,957
AAAS,NUP153,940
AAAS,NUP155,989
AAAS,NUP160,951
AAAS,NUP188,981
AAAS,NUP205,986
AAAS,NUP210,980
AAAS,NUP214,992
AAAS,NUP35,987
AAAS,NUP37,955
AAAS,NUP42,943
AAAS,NUP43,980
AAAS,NUP50,922
AAAS,NUP54,968
AAAS,NUP58,942
AAAS,NUP62,944
AAAS,NUP85,985
AAAS,NUP88,994
AAAS,NUP93,983
AAAS,NUP98,960
AAAS,NXF1,548
AAAS,PGRMC2,754
AAAS,PHAX,415
AAAS,PML,400
AAAS,POLDIP3,575
AAAS,RAE1,924
AAAS,RAN,512
AAAS,RANBP2,995
AAAS,RANGAP1,597
AAAS,RBM8A,516
AAAS,RHOA,566
AAAS,RNPS1,521
AAAS,SARNP,442
AAAS,SEC13,952
